# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/mpox-otoole-2023.fasta <DASH-DASH>v0-steps 200000000 <DASH-DASH>v0-out-log-file delphy_outputs_b/mpox-otoole-2023.log <DASH-DASH>v0-log-every 10000 <DASH-DASH>v0-out-trees-file delphy_outputs_b/mpox-otoole-2023.trees <DASH-DASH>v0-tree-every 100000 <DASH-DASH>v0-out-delphy-file delphy_outputs_b/mpox-otoole-2023.dphy <DASH-DASH>v0-delphy-snapshot-every 100000 <DASH-DASH>v0-mpox-hack
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	apobec3.clock.rate	non_apobec3.clock.rate	age(OP415257|9000312|UK|2022-08)	age(MK783032|3030|Nigeria_Rivers_State|2017-11)	age(NC_063383|MPXV-M5312_HM12_Rivers|Nigeria_Rivers_State|2018-08)	treeLikelihood_really_logG	branchRates	coalescent	
270000	371	-225432	43829.8	-269262	5.94303	2016.72	45.1963	54.5152	0.620564	1	0.359355	0.158973	0.159095	0.322577	0.000144474	6.32024e-06	0	4.82153	4.03459	-269262	0.0	-95.5379	
280000	371	-225442	43827	-269269	5.85461	2016.76	45.9356	78.3596	0.660978	1	0.359355	0.158973	0.159095	0.322577	0.000132946	6.2127e-06	0	4.76901	3.96179	-269269	0.0	-97.949	
290000	362	-225298	43831.2	-269129	6.04408	2016.59	44.9452	47.6115	0.6176	1	0.359355	0.158973	0.159095	0.322577	0.000140824	5.92052e-06	0	4.76664	4.03166	-269129	0.0	-94.1729	
300000	362	-225311	43827	-269138	6.17387	2016.48	46.7111	99.3955	0.704488	1	0.359355	0.158973	0.159095	0.322577	0.000132516	6.10739e-06	0	4.82038	4.06793	-269138	0.0	-97.6638	
310000	361	-225286	43829.3	-269115	6.06207	2016.6	45.6123	68.0524	0.676917	1	0.359355	0.158973	0.159095	0.322577	0.000149994	5.90284e-06	0	4.77032	4.03469	-269115	0.0	-95.8001	
320000	361	-225287	43831.1	-269118	6.0964	2016.56	45.8776	28.3361	0.499558	1	0.359355	0.158973	0.159095	0.322577	0.000128529	6.24724e-06	0	4.76475	4.00469	-269118	0.0	-94.8917	
330000	361	-225270	43832.9	-269103	5.93692	2016.65	43.9421	50.3165	0.61402	1	0.359355	0.158973	0.159095	0.322577	0.000158651	7.56509e-06	0	4.73765	3.98429	-269103	0.0	-92.4493	
340000	361	-225289	43829.1	-269118	5.9443	2016.69	45.8773	32.0577	0.503887	1	0.359355	0.158973	0.159095	0.322577	0.000151097	6.98577e-06	0	4.78099	4.00463	-269118	0.0	-96.6892	
350000	361	-225275	43831.9	-269107	6.02531	2016.61	44.0853	22.9254	0.484178	1	0.359355	0.158973	0.159095	0.322577	0.000162038	4.62606e-06	0	4.71783	3.96912	-269107	0.0	-94.2232	
360000	361	-225269	43832.2	-269101	5.70534	2016.93	43.6467	30.0778	0.514697	1	0.359355	0.158973	0.159095	0.322577	0.000154107	4.9089e-06	0	4.75066	4.00956	-269101	0.0	-93.7198	
370000	361	-225275	43832.1	-269107	5.96425	2016.68	44.3822	15.9787	0.369581	1	0.359355	0.158973	0.159095	0.322577	0.000162984	5.87886e-06	0	4.73747	4.0202	-269107	0.0	-94.454	
380000	361	-225279	43830.8	-269110	5.78763	2016.86	44.8788	15.9131	0.323184	1	0.359355	0.158973	0.159095	0.322577	0.000149185	5.47575e-06	0	4.77331	3.98975	-269110	0.0	-95.7136	
390000	361	-225305	43825.5	-269130	5.90717	2016.68	47.5585	15.971	0.266986	1	0.359355	0.158973	0.159095	0.322577	0.000130991	6.22906e-06	0	4.70055	3.99732	-269130	0.0	-101.052	
400000	361	-225304	43826.7	-269131	5.87308	2016.78	47.4126	15.6968	0.306119	1	0.359355	0.158973	0.159095	0.322577	0.000121093	5.34132e-06	0	4.82131	4.02456	-269131	0.0	-99.8114	
410000	361	-225269	43833.8	-269102	5.97519	2016.64	44.0469	28.1206	0.499894	1	0.359355	0.158973	0.159095	0.322577	0.000151246	6.58487e-06	0	4.70699	3.99663	-269102	0.0	-92.1672	
420000	361	-225299	43827.5	-269126	6.05696	2016.57	46.8832	58.772	0.655705	1	0.359355	0.158973	0.159095	0.322577	0.000151526	6.29333e-06	0	4.71099	3.98628	-269126	0.0	-97.7483	
430000	361	-225308	43825.2	-269133	6.40913	2016.26	47.922	38.9134	0.566293	1	0.359355	0.158973	0.159095	0.322577	0.000132719	5.34328e-06	0	4.83024	4.07533	-269133	0.0	-100.4	
440000	361	-225312	43825.6	-269137	6.14213	2016.51	48.5364	13.0502	0.288161	1	0.359355	0.158973	0.159095	0.322577	0.00013739	5.88093e-06	0	4.8115	4.02639	-269137	0.0	-101.108	
450000	361	-225295	43829.2	-269125	6.0999	2016.51	46.8091	37.0054	0.542236	1	0.359355	0.158973	0.159095	0.322577	0.000131673	6.85288e-06	0	4.73995	4.02473	-269125	0.0	-96.4453	
460000	361	-225292	43829.2	-269121	6.27633	2016.37	46.3942	29.176	0.497985	1	0.359355	0.158973	0.159095	0.322577	0.000145403	5.91569e-06	0	4.75082	4.01375	-269121	0.0	-96.6885	
470000	361	-225294	43828.4	-269122	6.4276	2016.17	46.3783	27.7132	0.490827	1	0.359355	0.158973	0.159095	0.322577	0.000135006	5.137e-06	0	4.68994	3.95048	-269122	0.0	-97.5558	
480000	361	-225295	43830.6	-269125	6.64864	2015.96	46.5663	14.4596	0.292033	1	0.359355	0.158973	0.159095	0.322577	0.000138693	4.33564e-06	0	4.69715	3.97878	-269125	0.0	-96.0228	
490000	361	-225288	43830.8	-269119	6.41616	2016.24	45.9206	20.386	0.354432	1	0.359355	0.158973	0.159095	0.322577	0.000156836	5.67511e-06	0	4.75224	3.99157	-269119	0.0	-95.4764	
500000	361	-225299	43828.5	-269127	6.36769	2016.26	47.1182	42.3732	0.588885	1	0.359355	0.158973	0.159095	0.322577	0.000129342	6.56391e-06	0	4.74711	4.04209	-269127	0.0	-97.0383	
510000	361	-225289	43829	-269118	6.25273	2016.37	45.9312	26.5311	0.395988	1	0.359355	0.158973	0.159095	0.322577	0.000151894	6.66052e-06	0	4.76944	4.03018	-269118	0.0	-97.0128	
520000	361	-225298	43827.3	-269126	6.26957	2016.38	46.9593	35.9991	0.457501	1	0.359355	0.158973	0.159095	0.322577	0.000139494	5.80782e-06	0	4.74114	4.06818	-269126	0.0	-98.4372	
530000	361	-225318	43825.7	-269143	6.38378	2016.24	49.2204	23.1972	0.380574	1	0.359355	0.158973	0.159095	0.322577	0.000138132	6.73325e-06	0	4.72645	4.005	-269143	0.0	-100.49	
540000	361	-225322	43825.9	-269148	6.66452	2016	49.9155	42.9891	0.532838	1	0.359355	0.158973	0.159095	0.322577	0.000120177	5.54498e-06	0	4.78054	4.03186	-269148	0.0	-99.6797	
550000	361	-225333	43820.8	-269153	6.62474	2016.02	50.7536	59.7912	0.559402	1	0.359355	0.158973	0.159095	0.322577	0.000126981	5.41646e-06	0	4.75538	4.00063	-269153	0.0	-104.398	
560000	361	-225340	43821.3	-269162	6.47988	2016.14	51.7415	42.8926	0.495554	1	0.359355	0.158973	0.159095	0.322577	0.000121901	6.94601e-06	0	4.72048	4.00408	-269162	0.0	-104.219	
570000	361	-225329	43822.2	-269152	6.28511	2016.34	50.3338	32.3451	0.393918	1	0.359355	0.158973	0.159095	0.322577	0.000135574	4.82336e-06	0	4.73894	4.00341	-269152	0.0	-103.62	
580000	361	-225346	43818.8	-269165	6.31691	2016.29	52.3399	51.9246	0.508666	1	0.359355	0.158973	0.159095	0.322577	0.000129697	4.94865e-06	0	4.77128	3.99269	-269165	0.0	-106.524	
590000	361	-225354	43818.2	-269172	6.84223	2015.81	53.4566	45.4666	0.46399	1	0.359355	0.158973	0.159095	0.322577	0.000122192	5.86966e-06	0	4.74632	4.07156	-269172	0.0	-107.337	
600000	361	-225349	43820.3	-269170	6.48789	2016.13	52.9857	23.2613	0.411962	1	0.359355	0.158973	0.159095	0.322577	0.000120438	6.40459e-06	0	4.71599	3.98627	-269170	0.0	-105.855	
610000	361	-225336	43821.3	-269157	6.45289	2016.16	51.1392	29.7137	0.366331	1	0.359355	0.158973	0.159095	0.322577	0.000124402	4.68665e-06	0	4.76683	4.01539	-269157	0.0	-104.624	
620000	361	-225347	43815.4	-269162	6.10067	2016.49	51.9755	94.6314	0.586899	1	0.359355	0.158973	0.159095	0.322577	0.00011924	5.32511e-06	0	4.7106	3.92371	-269162	0.0	-109.33	
630000	361	-225332	43819.1	-269151	5.99629	2016.61	50.4323	88.0879	0.606253	1	0.359355	0.158973	0.159095	0.322577	0.000131351	5.36258e-06	0	4.76238	3.9864	-269151	0.0	-105.684	
640000	361	-225339	43819.5	-269159	6.11457	2016.48	51.4667	24.5222	0.454937	1	0.359355	0.158973	0.159095	0.322577	0.000132711	5.77867e-06	0	4.74075	4.00146	-269159	0.0	-106.583	
650000	361	-225315	43823.2	-269138	6.16917	2016.43	48.5819	79.6129	0.643929	1	0.359355	0.158973	0.159095	0.322577	0.000137796	5.70204e-06	0	4.71524	3.98522	-269138	0.0	-101.725	
660000	361	-225329	43821.5	-269151	6.33203	2016.31	50.3562	61.3266	0.55052	1	0.359355	0.158973	0.159095	0.322577	0.000128941	5.41487e-06	0	4.75458	4.0144	-269151	0.0	-103.711	
670000	361	-225340	43819.6	-269160	6.68591	2015.97	51.6429	62.0328	0.612419	1	0.359355	0.158973	0.159095	0.322577	0.000122871	5.60732e-06	0	4.77213	4.00128	-269160	0.0	-105.544	
680000	361	-225341	43820.5	-269161	6.74014	2015.85	51.826	63.3635	0.561292	1	0.359355	0.158973	0.159095	0.322577	0.000132088	5.25976e-06	0	4.71162	3.96738	-269161	0.0	-104.589	
690000	361	-225333	43823.2	-269156	6.65767	2015.95	51.0792	9.5783	0.188542	1	0.359355	0.158973	0.159095	0.322577	0.000121142	5.16879e-06	0	4.73068	3.94129	-269156	0.0	-103.873	
700000	361	-225334	43824.1	-269159	6.5941	2016	51.4444	14.1091	0.24113	1	0.359355	0.158973	0.159095	0.322577	0.000121087	5.72862e-06	0	4.73903	3.99137	-269159	0.0	-102.546	
710000	361	-225348	43818.9	-269166	6.50589	2016.1	52.3971	4.79039	0.00391212	1	0.359355	0.158973	0.159095	0.322577	0.000113725	4.82114e-06	0	4.72805	4.00334	-269166	0.0	-108.885	
720000	361	-225338	43823.9	-269162	6.86197	2015.78	51.8638	17.1297	0.316602	1	0.359355	0.158973	0.159095	0.322577	0.000124681	4.71586e-06	0	4.73946	4.0407	-269162	0.0	-102.604	
730000	361	-225320	43827.2	-269147	6.60559	2015.98	49.8522	13.2294	0.26908	1	0.359355	0.158973	0.159095	0.322577	0.000125142	5.7892e-06	0	4.71643	4.00335	-269147	0.0	-99.5515	
740000	361	-225335	43824.3	-269159	6.9079	2015.76	51.3615	13.2822	0.22544	1	0.359355	0.158973	0.159095	0.322577	0.00013125	4.48109e-06	0	4.76434	4.04351	-269159	0.0	-102.427	
750000	361	-225331	43824.4	-269156	6.90582	2015.75	51.0545	9.52259	0.176188	1	0.359355	0.158973	0.159095	0.322577	0.000128898	5.38396e-06	0	4.75818	4.02274	-269156	0.0	-102.694	
760000	361	-225338	43823	-269161	6.6635	2015.93	51.8283	14.5969	0.280512	1	0.359355	0.158973	0.159095	0.322577	0.000118641	5.36299e-06	0	4.68767	3.96385	-269161	0.0	-103.63	
770000	361	-225356	43820.7	-269177	7.08977	2015.53	54.0086	12.4509	0.221272	1	0.359355	0.158973	0.159095	0.322577	0.0001178	6.41035e-06	0	4.7825	4.02489	-269177	0.0	-106.044	
780000	361	-225340	43824.4	-269164	7.63472	2015.02	52.3	11.2263	0.187668	1	0.359355	0.158973	0.159095	0.322577	0.000124439	4.9651e-06	0	4.7517	4.05506	-269164	0.0	-102.508	
790000	361	-225347	43825.2	-269172	7.8343	2014.84	53.2928	12.0368	0.216933	1	0.359355	0.158973	0.159095	0.322577	0.00011208	5.26038e-06	0	4.83522	4.07834	-269172	0.0	-101.608	
800000	361	-225339	43823.4	-269162	7.19086	2015.39	51.9362	9.39353	0.147846	1	0.359355	0.158973	0.159095	0.322577	0.000129602	6.49557e-06	0	4.70165	3.99888	-269162	0.0	-103.626	
810000	361	-225367	43819.4	-269186	7.04076	2015.6	55.567	28.2636	0.367653	1	0.359355	0.158973	0.159095	0.322577	0.000120781	5.2362e-06	0	4.77104	4.0389	-269186	0.0	-106.542	
820000	361	-225355	43819.2	-269174	6.72815	2015.87	53.6463	11.4451	0.165884	1	0.359355	0.158973	0.159095	0.322577	0.000111058	5.9839e-06	0	4.74552	3.99722	-269174	0.0	-107.688	
830000	361	-225366	43819	-269185	7.14084	2015.52	54.9915	13.3216	0.25672	1	0.359355	0.158973	0.159095	0.322577	0.000132763	6.24624e-06	0	4.767	4.04504	-269185	0.0	-107.719	
840000	361	-225347	43821.9	-269169	6.88772	2015.75	53.0137	11.2162	0.196294	1	0.359355	0.158973	0.159095	0.322577	0.000120664	5.45288e-06	0	4.75636	3.98824	-269169	0.0	-105.041	
850000	361	-225319	43820.8	-269140	6.73405	2015.86	48.9382	13.5045	0.142188	1	0.359355	0.158973	0.159095	0.322577	0.000133932	6.37168e-06	0	4.71411	4.00648	-269140	0.0	-105.893	
860000	361	-225338	43823.2	-269161	6.73361	2015.88	51.4357	27.4984	0.395162	1	0.359355	0.158973	0.159095	0.322577	0.000114502	4.28274e-06	0	4.72184	4.01134	-269161	0.0	-102.736	
870000	361	-225328	43825.3	-269154	6.87744	2015.75	50.6764	17.6758	0.280766	1	0.359355	0.158973	0.159095	0.322577	0.000126239	6.87771e-06	0	4.73629	4.0067	-269154	0.0	-101.176	
880000	361	-225333	43823.9	-269157	6.77347	2015.86	51.1912	20.1264	0.333145	1	0.359355	0.158973	0.159095	0.322577	0.000126597	4.75016e-06	0	4.74208	3.9999	-269157	0.0	-102.439	
890000	361	-225325	43823.1	-269148	6.42628	2016.21	49.8261	16.3785	0.288324	1	0.359355	0.158973	0.159095	0.322577	0.00011732	5.7903e-06	0	4.78008	4.02765	-269148	0.0	-103.445	
900000	361	-225320	43826.3	-269146	6.88111	2015.75	49.7168	27.3833	0.402062	1	0.359355	0.158973	0.159095	0.322577	0.000125145	6.23408e-06	0	4.77638	3.98615	-269146	0.0	-99.7377	
910000	361	-225330	43825.4	-269156	6.8907	2015.78	50.8204	13.9529	0.229522	1	0.359355	0.158973	0.159095	0.322577	0.000114656	5.03684e-06	0	4.79821	4.03022	-269156	0.0	-101.272	
920000	361	-225325	43826.1	-269151	6.87296	2015.77	50.3366	10.3978	0.175751	1	0.359355	0.158973	0.159095	0.322577	0.000123244	6.64108e-06	0	4.77395	4.05606	-269151	0.0	-100.91	
930000	361	-225319	43824.1	-269143	6.51786	2016.11	49.2117	5.82789	0.126285	1	0.359355	0.158973	0.159095	0.322577	0.000123297	6.43149e-06	0	4.73729	3.99322	-269143	0.0	-103.441	
940000	361	-225327	43824.9	-269152	6.509	2016.09	50.3734	12.4479	0.261086	1	0.359355	0.158973	0.159095	0.322577	0.000117784	5.94627e-06	0	4.69513	3.96199	-269152	0.0	-101.871	
950000	361	-225303	43828.9	-269132	6.44115	2016.19	47.8438	17.2683	0.35428	1	0.359355	0.158973	0.159095	0.322577	0.00013254	5.80715e-06	0	4.7487	3.97316	-269132	0.0	-97.5835	
960000	361	-225304	43826.1	-269130	6.09741	2016.5	47.588	21.8246	0.330563	1	0.359355	0.158973	0.159095	0.322577	0.000133203	5.84414e-06	0	4.74277	3.99908	-269130	0.0	-100.062	
970000	361	-225307	43827.4	-269134	6.381	2016.21	47.9981	8.48503	0.182916	1	0.359355	0.158973	0.159095	0.322577	0.000133375	7.20973e-06	0	4.69776	3.94608	-269134	0.0	-99.8043	
980000	361	-225294	43830.8	-269125	6.87201	2015.78	46.8435	14.5246	0.289541	1	0.359355	0.158973	0.159095	0.322577	0.000144042	6.48817e-06	0	4.80194	4.0464	-269125	0.0	-95.8455	
990000	361	-225305	43827.7	-269133	6.6281	2016.03	47.7761	10.3939	0.228534	1	0.359355	0.158973	0.159095	0.322577	0.000142848	5.16489e-06	0	4.81741	4.0456	-269133	0.0	-99.2304	
1000000	362	-225327	43824.4	-269151	6.04468	2016.55	47.7849	20.9125	0.313428	1	0.359355	0.158973	0.159095	0.322577	0.000159713	4.74913e-06	0	4.71193	3.94571	-269151	0.0	-101.818	
1010000	363	-225327	43827.5	-269155	6.11111	2016.54	47.1042	11.0851	0.254561	1	0.359355	0.158973	0.159095	0.322577	0.000139424	6.41021e-06	0	4.79398	3.98287	-269155	0.0	-99.3845	
1020000	363	-225349	43823.9	-269173	6.2189	2016.42	49.5095	14.4369	0.294587	1	0.359355	0.158973	0.159095	0.322577	0.000125698	6.5016e-06	0	4.79267	4.02464	-269173	0.0	-102.692	
1030000	362	-225348	43823.4	-269171	6.33672	2016.26	51.2425	22.1972	0.34037	1	0.359355	0.158973	0.159095	0.322577	0.000121906	5.32518e-06	0	4.76125	4.01566	-269171	0.0	-102.769	
1040000	362	-225325	43827.8	-269153	6.46559	2016.14	48.6897	21.8856	0.39993	1	0.359355	0.158973	0.159095	0.322577	0.000132522	5.98717e-06	0	4.73589	3.95128	-269153	0.0	-98.3823	
1050000	362	-225340	43825.1	-269165	6.56935	2016.09	50.437	16.1556	0.270524	1	0.359355	0.158973	0.159095	0.322577	0.00012963	5.79752e-06	0	4.78184	4.03182	-269165	0.0	-101.435	
1060000	362	-225357	43822.4	-269179	6.38386	2016.22	52.1767	18.5344	0.287207	1	0.359355	0.158973	0.159095	0.322577	0.000112659	6.35329e-06	0	4.70818	3.9856	-269179	0.0	-103.992	
1070000	362	-225368	43819.5	-269188	6.68694	2015.97	53.4273	17.7262	0.34053	1	0.359355	0.158973	0.159095	0.322577	0.000133034	6.041e-06	0	4.76867	4.03344	-269188	0.0	-106.948	
1080000	363	-225377	43821	-269198	6.77731	2015.81	52.5387	13.2117	0.252565	1	0.359355	0.158973	0.159095	0.322577	0.000142764	6.34805e-06	0	4.73834	3.96203	-269198	0.0	-105.707	
1090000	363	-225367	43820.2	-269187	6.70932	2015.88	51.4375	9.09007	0.116589	1	0.359355	0.158973	0.159095	0.322577	0.000126273	6.61337e-06	0	4.7202	4.0046	-269187	0.0	-106.927	
1100000	363	-225381	43818.2	-269199	6.67664	2015.98	52.9996	10.3723	0.127992	1	0.359355	0.158973	0.159095	0.322577	0.000111269	5.37248e-06	0	4.79444	4.04201	-269199	0.0	-108.803	
1110000	363	-225362	43820.9	-269183	6.37984	2016.26	50.8322	33.8355	0.4029	1	0.359355	0.158973	0.159095	0.322577	0.000120854	5.20666e-06	0	4.77799	4.05181	-269183	0.0	-104.926	
1120000	362	-225362	43820	-269182	6.21211	2016.38	52.6436	21.4536	0.337667	1	0.359355	0.158973	0.159095	0.322577	0.000116801	4.8678e-06	0	4.69825	3.993	-269182	0.0	-106.229	
1130000	362	-225350	43822.7	-269172	6.61978	2016.01	51.4149	25.6469	0.404278	1	0.359355	0.158973	0.159095	0.322577	0.00012708	5.30326e-06	0	4.76725	4.02661	-269172	0.0	-103.371	
1140000	362	-225365	43818.6	-269184	6.78382	2015.86	52.9593	51.4564	0.509196	1	0.359355	0.158973	0.159095	0.322577	0.0001138	5.44705e-06	0	4.78835	4.05139	-269184	0.0	-106.714	
1150000	362	-225353	43822.9	-269176	7.20028	2015.44	51.7897	67.0926	0.608639	1	0.359355	0.158973	0.159095	0.322577	0.000128763	4.56564e-06	0	4.77572	4.02259	-269176	0.0	-102.174	
1160000	362	-225344	43822.5	-269166	7.05671	2015.55	50.4434	5.39395	0.0580599	1	0.359355	0.158973	0.159095	0.322577	0.000127677	4.67607e-06	0	4.73859	3.98862	-269166	0.0	-105.141	
1170000	362	-225292	43831.7	-269123	6.08272	2016.54	44.7081	9.98486	0.200489	1	0.359355	0.158973	0.159095	0.322577	0.000130974	6.31317e-06	0	4.77251	3.95355	-269123	0.0	-95.3084	
1180000	362	-225295	43832	-269127	6.29832	2016.33	45.272	6.986	0.126067	1	0.359355	0.158973	0.159095	0.322577	0.000149998	7.27249e-06	0	4.73813	4.03878	-269127	0.0	-95.3487	
1190000	362	-225312	43826.5	-269138	6.19391	2016.43	46.6045	7.97992	0.257973	1	0.359355	0.158973	0.159095	0.322577	0.000130051	7.39274e-06	0	4.74494	4.0207	-269138	0.0	-100.749	
1200000	362	-225312	43827.4	-269139	6.05012	2016.61	46.5624	61.9949	0.67533	1	0.359355	0.158973	0.159095	0.322577	0.000157069	7.07555e-06	0	4.78031	4.02525	-269139	0.0	-97.7809	
1210000	362	-225308	43827	-269135	6.11572	2016.54	46.3162	92.6227	0.737062	1	0.359355	0.158973	0.159095	0.322577	0.000133563	6.12786e-06	0	4.75529	4.01032	-269135	0.0	-97.7988	
