# BEAST v10.5.0
# Generated Fri Oct 17 12:27:02 UTC 2025 [seed=1760704018445]
# -beagle -working beastX_run_b/h5n1-andersen-e756a15-ALL_full_dates_only.xml
# keywords: skygrid
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	skygrid
4000000	-77238.14274210174	-13357.619849393659	-63880.52289270809	6.347909719985934	2019.243870280014	642.9618313068323	6.24524	0.43449795103508154	0.5213458432558643	0.8987473638881172	1.9367283521849297	2.028477821219658	1.89223683887312	2.1363371134900033	2.2909909459072613	3.005301835987033	3.415074724831546	3.92516842605448	3.012358020792534	3.1457566411731945	3.668618513210554	4.52473851635054	3.6746475915754226	4.3764683728110665	4.9262193057660175	4.326523769272912	3.984270673790756	4.725676368828275	4.415373166463336	2.773350642405503	1.833	15.119472818410014	0.32706830255832253	0.20456522987758322	0.247442656218991	0.22092381134510314	5.198076574531925E-4	5.19807657453192E-4	-63880.52289270809	0.0	-13345.860951837018
4200000	-76483.18381017644	-12882.715575763272	-63600.468234413165	5.47353815606807	2020.1182418439319	555.3547437121834	6.24524	0.4270276321410215	0.6011786745738636	0.806270134414929	1.8730687091792828	1.911667711019627	1.8860382049566744	2.060327934479769	2.2565562172110445	2.901313567183011	3.3180884540519116	4.048847143304222	2.8659469953417105	3.0848683591812165	3.4927154332767216	4.4106055065921685	3.5917966496333644	4.235631620209881	4.619553485427219	4.529666174855502	3.730358936219688	3.5289716352724305	3.557558854559533	2.8089055563221486	1.833	18.017539646757218	0.32491013771596816	0.20572818951541869	0.24697929023306162	0.22238238253555143	5.915758863507029E-4	5.915758863507025E-4	-63600.468234413165	0.0	-12870.578887456892
4400000	-75900.51560209968	-12347.947525509793	-63552.56807658988	4.502601191530085	2021.0891788084698	486.31545500549	6.24524	0.20856741365670342	0.5385002979793929	0.7672840412145359	1.5377588395381947	1.7881805120359002	1.8162339655380664	1.7539732416766471	2.17057413635517	2.7847388303127505	3.2027209324044326	3.817782319469874	2.772934012969718	2.7945730192309792	3.247076451776977	4.16069113427325	3.3892859939555544	3.9415871820009936	3.99680730533178	3.8954869841522104	3.8929075903563177	3.159498570740136	2.759580061092975	2.2469174080899426	1.833	16.59082591117405	0.3283357310194764	0.21026729294198837	0.2422562712081765	0.21914070483035863	6.882132449167424E-4	6.882132449167426E-4	-63552.56807658988	0.0	-12335.991013241304
4600000	-75351.96078361226	-11819.7100912953	-63532.250692316964	3.9549598412217497	2021.6368201587782	442.1401761073004	6.24524	0.18349366290148747	0.4117529870653001	0.9595626440922538	1.5202809343429748	1.7329384335915146	1.5483525680935357	1.9642330469494518	2.1424446127481893	2.518103050254897	3.107419877679435	3.6044475166384857	2.644333305573463	2.6343284603409236	3.024776466376264	3.9573050387468824	3.0466041365936927	3.822174809755625	3.7088613306238045	3.4894207225447196	3.680391317319207	3.162429837861936	2.6146805268984052	1.937890583729479	1.833	17.286473542118927	0.3290305719155676	0.2056423123732779	0.24596084836834003	0.21936626734281436	7.253417522658552E-4	7.253417522658579E-4	-63532.250692316964	0.0	-11807.664414329793
4800000	-74807.75691931252	-11388.137977617018	-63419.61894169551	3.5464645991665447	2022.0453154008335	403.14372830962145	6.24524	0.10009481054811954	0.3218291178424862	0.7835266896509723	1.3911703342002417	1.5777022054325578	1.7098227447651393	1.5695103152379195	2.055459293530649	2.5967102017632433	3.087182245821395	3.1950412588478154	2.4243931686528386	2.6547218250683056	2.8828567657653705	3.7636924135458596	2.8648312587196005	3.593325925302419	3.5893372325805992	3.4278705529012634	3.521292243410298	2.817309915380721	2.207276750206101	1.6643560390091052	1.833	15.925613181412134	0.3253593108826375	0.2103844245453349	0.25084636311945613	0.21340990145257138	7.999497250952407E-4	7.999497250952384E-4	-63419.61894169551	0.0	-11376.26922365213
5000000	-74255.70157160638	-10836.457532865805	-63419.244038740566	3.6883600988735368	2021.9034199011264	356.85443865473394	6.24524	0.14935739334916412	0.20182809900534304	0.5628661294565694	1.3112237137778053	1.5000791792571164	1.5049304284936298	1.6181075321577294	1.676781227619053	2.494389550574446	2.853518436535274	3.1546632672779698	2.1882344268963716	2.361908564499461	2.8175253394748068	3.5471713940964533	2.664507696713628	3.4637330873430057	3.584738966928125	3.0362229548878266	2.482272140926003	2.3462486122080795	1.9616753135189686	1.2960650324501926	1.833	16.69534208331353	0.3235504171221985	0.20384650507139976	0.24940480219415104	0.22319827561225059	9.373316754097471E-4	9.373316754097518E-4	-63419.244038740566	0.0	-10824.487458114072
5200000	-73732.05504959809	-10376.34120218609	-63355.713847412	3.1141119203591323	2022.4776680796408	327.6189418243744	6.24524	0.058864058480764134	0.037157440924553434	0.24640431595419807	1.2054402381636213	1.408607408325028	1.2989445322243145	1.4074366689137974	1.5914478383622077	2.3376667512248135	2.6787611951407455	2.9117182369279346	2.1329203242124826	1.903239082327119	2.552142634265379	3.3403721293461954	2.470665667371137	3.263011196360986	3.2302777681487616	3.0649977314959194	2.068842546118722	1.900788151391948	1.8464054720017	1.3303256205674818	1.833	17.182030505465477	0.3267376854136755	0.209339640829617	0.24271535187887364	0.22120732187783373	9.78583676186985E-4	9.78583676186986E-4	-63355.713847412	0.0	-10364.308748694812
5400000	-73309.17043691613	-9984.548283018474	-63324.62215389765	2.7709835321279463	2022.820796467872	301.7906035986795	6.24524	-0.01934478597087038	0.03630021695554454	0.35482543476251127	1.1430106337177333	1.2822051965830352	1.3067801712890597	1.5055034284168083	1.6030240805463356	2.341619912554608	2.39578209183433	2.688490473184603	1.9203253733976855	1.898729190421273	2.5288096429523774	3.184271792340027	2.1722244397188963	3.1759831271030983	2.8305309954054727	2.8391387079431296	2.176549879246955	2.1167259663822975	1.5939262971450758	1.0585150941537984	1.833	17.601393822687793	0.3244327459338907	0.20760522580115617	0.2492749503009477	0.21868707796400538	0.0010737497844755407	0.0010737497844755378	-63324.62215389765	0.0	-9972.46307318486
5600000	-73001.41863955207	-9715.801250366783	-63285.61738918528	2.562589849618104	2023.029190150382	278.71794321999374	6.24524	-0.2648784462875096	0.08073661334818948	0.3226130349474795	1.117001941457399	1.2685876276986088	1.3535789150082604	1.2709003272675707	1.6524623220874906	2.2950816537941545	2.45513762550404	2.72135761293632	1.8137566474761677	1.7312676614398408	2.4103158585482025	3.0191684310881284	2.034989215130806	2.937651967665206	2.6065385506849954	2.2566656188392105	2.6236139151302083	1.9041690985362372	1.3885107393078844	0.26194877742584294	1.833	15.967164178277711	0.3251801806835284	0.20680026339541724	0.24352867102900638	0.224490884892048	0.0011763744965838615	0.0011763744965838608	-63285.61738918528	0.0	-9703.926940311258
5800000	-72580.34600169353	-9317.583990831472	-63262.762010862054	2.4165606190023228	2023.1752193809978	258.6256146140922	6.24524	-0.1397691703773428	0.11363035269909907	0.3868001249458474	0.8535282752478969	1.0901035214267771	1.2318788150706481	0.9901055502589081	1.5464988392973231	2.1573712186801646	2.3402142251980753	2.492558976339159	1.6046849683522861	1.526112909783328	2.3206409705085274	2.7253082840288596	1.9777088763189725	2.966001336677718	2.3763622394133916	1.688734043220038	2.086209841787785	1.4749223056686052	0.5839112587799172	0.4740463651146445	1.833	17.64900795703425	0.3167697728131761	0.2078844548267671	0.25456569517567895	0.22078007718437784	0.0012614101516316921	0.00126141015163169	-63262.762010862054	0.0	-9305.492847542568
