# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/h5n1-andersen-e756a15-ALL_full_dates_only.fasta <DASH-DASH>v0-steps 20000000000 <DASH-DASH>v0-out-log-file delphy_outputs_b/h5n1-andersen-e756a15-ALL_full_dates_only_b.log <DASH-DASH>v0-log-every 2000000 <DASH-DASH>v0-out-trees-file delphy_outputs_b/h5n1-andersen-e756a15-ALL_full_dates_only_b.trees <DASH-DASH>v0-tree-every 20000000 <DASH-DASH>v0-out-delphy-file delphy_outputs_b/h5n1-andersen-e756a15-ALL_full_dates_only_b.dphy <DASH-DASH>v0-delphy-snapshot-every 20000000 <DASH-DASH>v0-target-coal-prior-cells 1000 <DASH-DASH>v0-pop-model skygrid <DASH-DASH>v0-skygrid-prior-double-half-time 0.25 <DASH-DASH>v0-skygrid-type staircase <DASH-DASH>v0-skygrid-disable-low-pop-barrier <DASH-DASH>v0-skygrid-num-parameters 23 <DASH-DASH>v0-skygrid-cutoff 1.833
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	skygrid.isloglinear	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood_really_logG	branchRates	skygrid	
20000000	4634	-102380	-22746.4	-79633.4	2.46447	2023.13	144.625	0	6.24524	-0.85928	-0.652688	0.0578484	0.439008	-0.115042	0.437698	0.960225	1.37441	1.49507	1.26794	1.01907	-0.117115	0.525293	1.15475	1.18278	0.665212	1.27524	1.47161	0.812554	0.0920899	0.0813668	-0.316007	-0.825192	1.833	16.2809	0.322901	0.207375	0.248141	0.221583	0.00238154	0.00238154	-79633.4	0.0	-5980.32	
22000000	4595	-101399	-22504.8	-78893.9	2.02023	2023.57	136.371	0	6.24524	-0.797277	-0.622426	-0.264017	0.144506	0.138194	0.183754	0.74114	1.26078	1.46296	1.22527	0.872777	-0.213506	0.419666	0.950401	0.932279	0.701773	1.02656	1.02144	0.151244	-0.229212	-1.19095	-1.89567	-2.25492	1.833	16.3535	0.333144	0.206696	0.241412	0.218749	0.00246724	0.00246724	-78893.9	0.0	-5738.72	
24000000	4536	-99667.7	-21931.1	-77736.6	1.77949	2023.81	124.042	0	6.24524	-1.0722	-0.776467	-0.203228	0.140534	-0.285633	-0.00701057	0.876541	1.34568	1.22569	1.19183	0.562067	-0.37491	0.33533	0.813548	0.81746	0.373486	0.848659	0.663795	0.0676584	-0.457333	-1.20541	-1.29287	-1.65771	1.833	16.5744	0.320317	0.207746	0.247086	0.22485	0.00273597	0.00273597	-77736.6	0.0	-5165.02	
26000000	4507	-99063.3	-21780.3	-77283	1.86869	2023.72	121.192	0	6.24524	-0.830802	-0.878617	-0.366549	0.0879353	-0.0455035	0.0902471	0.749001	0.947356	1.14311	1.11912	0.55446	-0.4057	0.371152	0.683733	0.850502	0.425483	0.477533	0.719331	-0.835734	-1.23698	-0.977285	-1.34718	-1.85201	1.833	16.4721	0.326107	0.209694	0.243465	0.220735	0.00276453	0.00276453	-77283	0.0	-5014.28	
28000000	4491	-98780.8	-21744.3	-77036.4	1.9272	2023.67	119.648	0	6.24524	-0.797898	-0.93513	-0.485281	0.157341	-0.146716	0.376463	0.759685	1.06408	1.08103	1.00809	0.214	-0.514066	0.151117	0.80386	0.85517	0.57672	0.481142	0.370913	-1.01312	-1.1277	-1.45283	-1.29389	-0.990404	1.833	18.8223	0.321688	0.204439	0.251805	0.222067	0.00289872	0.00289872	-77036.4	0.0	-4977.98	
30000000	4486	-98499.5	-21622	-76877.5	1.682	2023.91	117.291	0	6.24524	-1.01396	-0.95235	-0.312323	0.022809	-0.179277	0.0328586	0.788691	1.14223	1.17056	1.183	0.295833	-0.777751	0.380302	0.744428	0.812369	0.568569	0.541989	0.235645	-0.764291	-1.27411	-1.49318	-1.49232	-1.81374	1.833	16.8731	0.325503	0.204486	0.245149	0.224862	0.00287209	0.00287209	-76877.5	0.0	-4855.88	
32000000	4472	-98397.8	-21659.7	-76738.2	1.88428	2023.71	118.036	0	6.24524	-0.994372	-0.894833	-0.13561	0.102916	-0.228331	-0.07094	0.714537	0.933609	1.24314	1.07224	0.35952	-0.673811	0.143124	0.771848	0.819766	0.514963	0.583204	0.385739	-0.473773	-1.56337	-1.75033	-1.65168	-1.20283	1.833	16.6667	0.323899	0.206772	0.243937	0.225391	0.0028328	0.0028328	-76738.2	0.0	-4893.57	
34000000	4469	-98224.6	-21574.6	-76650	1.76795	2023.82	116.676	0	6.24524	-0.965048	-0.983892	-0.412758	0.086485	-0.237117	0.0032096	0.769209	0.699759	1.20694	1.07267	0.457675	-0.676549	0.314772	0.56765	0.757152	0.544033	0.619827	0.401507	-0.937244	-1.68956	-2.00494	-2.4985	-2.97325	1.833	16.6942	0.322663	0.207744	0.248389	0.221204	0.00291096	0.00291096	-76650	0.0	-4808.53	
36000000	4453	-97715.4	-21393.9	-76321.6	1.70649	2023.89	113.018	0	6.24524	-0.938554	-0.786931	-0.420391	-0.0420718	-0.276932	-0.180225	0.937499	1.09789	1.13772	0.858357	0.260917	-0.705585	0.232914	0.74364	0.697436	0.446139	0.581821	0.383048	0.00554149	-1.57202	-1.12178	-2.24255	-2.00166	1.833	18.392	0.324356	0.205893	0.25115	0.218601	0.00295162	0.00295162	-76321.6	0.0	-4627.56	
38000000	4450	-97483.1	-21299.8	-76183.3	1.65205	2023.94	110.501	0	6.24524	-0.920905	-0.898413	-0.0408553	-0.100499	-0.289994	-0.129336	0.942434	0.901019	0.978786	0.861611	0.363179	-0.806315	0.0112205	0.548204	0.643158	0.350531	0.394934	0.105131	-0.76721	-1.93444	-1.8963	-1.59308	-1.81933	1.833	17.7824	0.323172	0.206001	0.2496	0.221228	0.00308418	0.00308418	-76183.3	0.0	-4533.53	
40000000	4448	-97253.3	-21180.2	-76073.2	1.65395	2023.94	108.448	0	6.24524	-1.10698	-0.849659	-0.0742363	-0.0620847	-0.381017	-0.00761137	0.693462	0.942725	1.12862	0.795107	0.213597	-0.766903	0.182088	0.563671	0.409722	0.46973	0.427351	0.0982673	-1.01636	-1.15347	-1.79718	-1.94636	-2.06782	1.833	17.1579	0.326941	0.207232	0.2451	0.220727	0.00314751	0.00314751	-76073.2	0.0	-4414.03	
42000000	4441	-97345	-21291.8	-76053.2	1.56775	2024.02	110.016	0	6.24524	-0.910684	-0.811483	-0.250251	-0.143402	-0.171238	-0.107154	0.605663	1.18795	0.929906	0.806849	0.211782	-0.685214	0.1247	0.579218	0.589962	0.521285	0.479144	-0.0996316	-1.4001	-1.30894	-0.66703	0.694142	1.43413	1.833	16.9557	0.325721	0.207766	0.241323	0.22519	0.00304617	0.00304617	-76053.2	0.0	-4525.66	
44000000	4438	-97233.7	-21236.6	-75997.1	1.59548	2024	109.525	0	6.24524	-0.775644	-1.12644	-0.290971	-0.204755	-0.275595	0.142779	0.947121	0.907626	0.877775	0.850058	0.290901	-0.861655	0.145449	0.544325	0.719636	0.309508	0.385709	0.0826722	-1.16372	-0.916933	-1.44813	-1.34695	-1.72016	1.833	16.1851	0.324451	0.205365	0.247818	0.222366	0.00307244	0.00307244	-75997.1	0.0	-4470.55	
46000000	4433	-97328.5	-21328.9	-75999.6	1.61351	2023.98	111.077	0	6.24524	-0.951294	-0.928518	-0.214452	-0.159367	-0.11911	-0.119357	0.70884	1.1771	1.05174	0.935194	0.354918	-0.553415	-0.0626652	0.701932	0.618365	0.369883	0.514209	-0.305517	-0.836469	-0.983274	-0.720015	-0.651309	-0.78918	1.833	16.6225	0.322058	0.210305	0.246921	0.220716	0.0030252	0.0030252	-75999.6	0.0	-4562.79	
48000000	4430	-97099.3	-21223.9	-75875.4	1.58465	2024.01	108.836	0	6.24524	-0.990997	-0.888503	-0.215764	-0.20149	-0.540245	-0.0214078	0.311059	1.13078	1.16731	0.883838	0.187617	-0.877621	0.309597	0.621744	0.510529	0.237446	0.414599	-0.369386	-1.04571	-0.700034	-0.118154	0.376404	-0.293602	1.833	16.8005	0.323236	0.204056	0.246287	0.226421	0.00311163	0.00311163	-75875.4	0.0	-4457.83	
50000000	4423	-96809.5	-21101.4	-75708.1	1.61511	2023.98	106.853	0	6.24524	-1.14018	-0.899309	-0.486028	-0.12512	-0.561565	-0.152007	0.763227	0.905224	1.06046	0.901903	0.234512	-0.811999	0.0112823	0.564409	0.413239	0.570183	0.475477	-0.130772	-1.10205	-0.293431	0.215478	-0.32086	-0.454517	1.833	17.0335	0.328908	0.205566	0.244839	0.220687	0.00313756	0.00313756	-75708.1	0.0	-4335.25	
52000000	4417	-96917.2	-21209.3	-75707.9	1.56131	2024.03	108.512	0	6.24524	-0.868261	-1.07234	-0.35552	-0.149796	-0.479363	-0.0193509	0.868065	1.23374	1.04157	0.844342	0.194433	-0.947953	0.164996	0.706968	0.609186	0.368321	0.408004	-0.407812	-1.29264	-0.699967	-0.868075	-1.53187	-0.942376	1.833	16.5958	0.32044	0.204074	0.252388	0.223097	0.00307698	0.00307698	-75707.9	0.0	-4443.24	
54000000	4419	-96939.5	-21207.4	-75732.2	1.52522	2024.07	108.573	0	6.24524	-0.723036	-1.03672	-0.27446	-0.120681	-0.561625	-0.174537	0.842872	1.09088	1.09419	0.848331	0.208081	-1.01398	0.221922	0.791618	0.536366	0.378817	0.413314	-0.505237	-1.58122	-1.36052	-0.985067	-1.26958	-1.03624	1.833	17.2176	0.327786	0.207035	0.24777	0.217409	0.00313838	0.00313838	-75732.2	0.0	-4441.2	
56000000	4417	-96889.2	-21185.1	-75704.2	1.60432	2023.99	108.428	0	6.24524	-0.869876	-1.02439	-0.565829	-0.108423	-0.63259	-0.0404213	0.661007	1.18077	1.15895	0.890326	0.261535	-0.911377	-0.102157	0.728211	0.496431	0.236428	0.306891	-0.468875	-1.56339	-1.01942	-0.80416	-1.78155	-2.11884	1.833	16.6001	0.333164	0.203989	0.243505	0.219342	0.00311244	0.00311244	-75704.2	0.0	-4419	
58000000	4413	-96740	-21130.9	-75609.2	1.61952	2023.97	107.296	0	6.24524	-0.996442	-0.966036	-0.520146	-0.26279	-0.566029	0.181037	0.521799	0.985049	1.05268	0.829979	0.093428	-0.560238	0.136316	0.752177	0.364269	0.340067	0.255802	-0.189435	-1.25325	-1.48852	-1.66504	-1.07225	-0.943307	1.833	18.3698	0.327552	0.207147	0.242607	0.222694	0.00317111	0.00317111	-75609.2	0.0	-4364.56	
60000000	4414	-96728.9	-21107.5	-75621.3	1.66781	2023.93	107.357	0	6.24524	-1.15283	-0.987141	-0.623651	0.018546	-0.703021	-0.0716547	0.572346	0.738708	1.12952	0.879178	0.241703	-1.0199	0.324781	0.825553	0.477445	0.44142	0.18602	-0.0864803	-0.572675	-1.12673	-1.44512	-2.00132	-2.08792	1.833	17.5805	0.327265	0.203269	0.246657	0.222809	0.00309125	0.00309125	-75621.3	0.0	-4341.34	
62000000	4412	-96777.1	-21155.7	-75621.4	1.60978	2023.98	107.863	0	6.24524	-1.06115	-0.820697	-0.537729	-0.0624836	-0.457349	-0.0162934	0.805346	0.935726	1.05054	0.787384	0.16036	-0.632676	0.380479	0.786982	0.302829	0.313306	0.361924	-0.138939	-1.40869	-2.02453	-1.84049	-1.67952	-1.57757	1.833	15.0065	0.325725	0.205787	0.245096	0.223392	0.0031507	0.0031507	-75621.4	0.0	-4389.82	
64000000	4410	-96715	-21131.7	-75583.3	1.59653	2024	107.569	0	6.24524	-0.912812	-0.773058	-0.645774	-0.119779	-0.630023	0.0591118	0.545311	0.968262	0.996605	0.898565	0.278243	-0.785713	0.616976	0.708009	0.333492	0.42127	0.274058	-0.257513	-1.76351	-1.72819	-1.76868	-1.54737	-1.2346	1.833	17.3653	0.325587	0.201911	0.248793	0.223709	0.00310377	0.00310377	-75583.3	0.0	-4365.49	
66000000	4410	-96519.6	-21027.9	-75491.7	1.57992	2024.01	105.256	0	6.24524	-0.699352	-0.692093	-0.614628	-0.137463	-0.567351	0.106812	0.74344	1.1117	1.04793	0.778648	0.14628	-0.82569	0.35171	0.726556	0.371019	0.266196	0.170078	-0.676481	-1.593	-1.2539	-2.02943	-1.37199	-1.83477	1.833	15.1498	0.332758	0.203673	0.242779	0.220789	0.00313577	0.00313577	-75491.7	0.0	-4261.98	
68000000	4409	-96575	-21051.1	-75523.9	1.59927	2023.99	106.376	0	6.24524	-0.806977	-0.904554	-0.702218	-0.131129	-0.742414	0.0977584	0.544704	0.883306	1.06839	0.747711	0.320722	-0.811297	0.446818	0.421139	0.396829	0.249326	0.248468	-0.30291	-0.732487	-1.37802	-2.21609	-2.31449	-2.63926	1.833	16.4408	0.322371	0.205804	0.24473	0.227096	0.00319701	0.00319701	-75523.9	0.0	-4285.04	
70000000	4408	-96564.4	-21080.2	-75484.2	1.58569	2024.01	105.77	0	6.24524	-0.677566	-1.02226	-0.53419	-0.191094	-0.5556	-0.0591006	0.556955	0.861483	1.13604	0.906089	0.0629661	-0.958197	0.379753	0.714359	0.526124	0.270439	0.203805	-0.699241	-1.25703	-1.69625	-2.14597	-2.44767	-2.82431	1.833	18.1146	0.329093	0.205349	0.240262	0.225296	0.0031799	0.0031799	-75484.2	0.0	-4313.89	
72000000	4409	-96580.4	-21068.5	-75511.8	1.61674	2023.98	106.173	0	6.24524	-1.08119	-0.907542	-0.61867	-0.303979	-0.655707	0.0717119	0.627161	1.05693	1.19175	0.875999	0.270289	-0.779286	0.406818	0.618489	0.548134	0.462735	0.182575	-0.527133	-0.684605	-1.09586	-0.917096	-1.22309	-1.41495	1.833	17.5881	0.32246	0.207813	0.249052	0.220675	0.00312032	0.00312032	-75511.8	0.0	-4302.31	
74000000	4407	-96595.4	-21098	-75497.4	1.5889	2024.01	106.373	0	6.24524	-0.692371	-1.04274	-0.570452	-0.110662	-0.344672	-0.106407	0.749975	0.94769	1.05023	0.879597	0.216546	-0.907347	0.0620201	0.607224	0.478406	0.395044	0.272861	-0.301839	-0.953375	-0.579456	-0.851558	-0.606859	-0.691278	1.833	15.8083	0.324228	0.199879	0.24846	0.227434	0.00317917	0.00317917	-75497.4	0.0	-4332.01	
76000000	4402	-96264.2	-20927.3	-75336.9	1.57343	2024.02	104	0	6.24524	-0.596233	-0.710628	-0.644901	-0.324208	-0.507441	0.0270598	0.67571	1.07778	0.948451	0.688545	-0.0195075	-0.958084	0.258636	0.70412	0.473902	0.369881	0.327219	-0.334355	-1.5402	-1.01844	-0.331631	-0.762757	0.3162	1.833	16.6597	0.326204	0.205035	0.246792	0.221969	0.00318988	0.00318988	-75336.9	0.0	-4161.25	
78000000	4398	-96263.7	-20933.2	-75330.5	1.58901	2024.01	104.81	0	6.24524	-0.973593	-0.871062	-0.059344	-0.223989	-0.47117	0.0544547	0.575227	0.854605	1.01314	0.734155	-0.0856016	-1.06163	-0.0430958	0.684615	0.604461	0.245095	0.340758	-0.296096	-1.39282	-1.11425	-1.20199	-1.33754	-1.33325	1.833	14.8287	0.319684	0.202935	0.24707	0.230311	0.00316071	0.00316071	-75330.5	0.0	-4167.35	
80000000	4406	-96123.9	-20815.5	-75308.5	1.62329	2023.97	102.136	0	6.24524	-1.00572	-0.909205	-0.368496	-0.241652	-0.501739	-0.296142	0.582118	0.780936	1.01645	0.7219	0.111097	-1.03848	0.0637555	0.435866	0.43541	0.331262	0.12963	-0.724205	-1.56169	-1.683	-1.17461	-1.02588	-0.763066	1.833	14.9335	0.324419	0.203862	0.242659	0.229059	0.00328263	0.00328263	-75308.5	0.0	-4049.6	
82000000	4400	-96062.9	-20806.7	-75256.2	1.65701	2023.94	102.614	0	6.24524	-1.05121	-1.02149	-0.461215	0.0935772	-0.462015	0.0503184	0.763216	0.914741	0.959611	0.694555	-0.000598019	-1.13475	0.226969	0.597844	0.268458	0.348138	0.112569	-0.579851	-1.46257	-1.59379	-0.784499	-0.444274	-0.485145	1.833	16.6553	0.324537	0.210497	0.2435	0.221466	0.00331888	0.00331888	-75256.2	0.0	-4040.57	
84000000	4399	-96217.3	-20916.9	-75300.4	1.63499	2023.96	103.842	0	6.24524	-0.867614	-1.11441	-0.448503	-0.156944	-0.502226	0.0135839	0.734722	0.720637	0.930577	0.716795	0.242149	-1.0348	0.306744	0.596416	0.538037	0.390355	0.0586859	-0.647952	-1.91003	-1.78078	-1.51518	-1.28596	-1.8478	1.833	15.2429	0.335784	0.201575	0.245057	0.217584	0.00320793	0.00320793	-75300.4	0.0	-4151.03	
86000000	4395	-96029.9	-20834	-75195.9	1.56248	2024.03	102.586	0	6.24524	-1.01905	-0.908972	-0.697165	-0.0527137	-0.673004	0.00326129	0.612588	0.788153	0.991693	0.806574	0.121601	-1.16743	0.0533042	0.4621	0.604046	0.248684	0.0600914	-0.458943	-1.07038	-0.772797	-1.66473	-1.54159	-1.74613	1.833	17.7167	0.322213	0.208338	0.245798	0.223651	0.00327431	0.00327431	-75195.9	0.0	-4067.76	
88000000	4395	-96123.9	-20878.4	-75245.5	1.69363	2023.9	103.754	0	6.24524	-0.842738	-0.645027	-0.67448	-0.232467	-0.418392	-0.0807652	1.0216	0.856055	0.993496	0.820942	0.00414853	-1.0058	0.189224	0.448064	0.459433	0.32249	0.108769	-0.27596	-1.45776	-1.83851	-1.95873	-1.76545	-1.46766	1.833	16.5289	0.324831	0.207387	0.244321	0.223461	0.00325581	0.00325581	-75245.5	0.0	-4112.35	
90000000	4398	-96047.5	-20822.4	-75225.1	1.60491	2023.99	102.409	0	6.24524	-0.925841	-1.13492	-0.524694	-0.314669	-0.614351	0.154567	0.458313	0.998597	0.960156	0.709636	0.0523433	-1.12669	-0.0735715	0.46382	0.335369	0.279633	0.257748	-0.614903	-1.24971	-2.29816	-1.88876	-0.910676	-1.16301	1.833	16.1981	0.318549	0.209219	0.247433	0.224799	0.00321944	0.00321944	-75225.1	0.0	-4056.32	
92000000	4400	-96008.2	-20776.8	-75231.3	1.58754	2024.01	102.013	0	6.24524	-1.23515	-1.10656	-0.547137	-0.238881	-0.626537	-0.0265547	0.602106	0.988346	0.953697	0.806374	0.0238069	-1.00669	0.207597	0.517408	0.335311	0.367568	0.010264	-0.40065	-1.46902	-2.22584	-2.68858	-2.74985	-2.16426	1.833	17.706	0.325942	0.209729	0.241997	0.222332	0.00322599	0.00322599	-75231.3	0.0	-4010.62	
94000000	4400	-96128.6	-20832.5	-75296.1	1.61782	2023.98	103.623	0	6.24524	-1.13232	-0.858401	-0.381704	-0.237539	-0.620276	-0.0765491	0.466225	0.664201	0.827311	0.733242	0.0381002	-0.997898	0.175983	0.777577	0.428689	0.357235	0.016035	-0.146619	-1.88227	-1.8752	-1.737	-1.77929	-1.73972	1.833	17.1203	0.330582	0.207344	0.241193	0.22088	0.0032073	0.0032073	-75296.1	0.0	-4066.39	
96000000	4377	-95901.1	-20872.7	-75028.4	1.6396	2023.95	103.91	0	6.24524	-1.21043	-1.04963	-0.708457	-0.0564219	-0.557018	0.0777009	0.511679	0.733224	1.06745	0.771984	0.00715698	-0.999598	0.136295	0.515247	0.489625	0.349913	0.0109548	-0.164027	-1.40219	-1.38209	-1.67952	-2.16333	-2.10419	1.833	15.4976	0.323742	0.206054	0.24864	0.221564	0.00316447	0.00316447	-75028.4	0.0	-4106.77	
98000000	4374	-95954.2	-20932.9	-75021.3	1.61544	2023.98	104.581	0	6.24524	-1.06141	-1.29047	-0.730212	-0.0387587	-0.38313	0.147454	0.598766	0.764105	0.986993	0.770368	0.0196708	-0.836798	0.103129	0.45221	0.6225	0.120531	0.0284099	0.262701	-1.26927	-1.55276	-1.68428	-1.92181	-2.47447	1.833	16.3833	0.320082	0.209694	0.245546	0.224678	0.00319474	0.00319474	-75021.3	0.0	-4166.88	
100000000	4375	-95728.9	-20780	-74948.8	1.59684	2024	102.595	0	6.24524	-1.40113	-1.00228	-0.480113	-0.149294	-0.619682	0.0663228	0.706692	0.875877	0.893522	0.832943	0.0508801	-1.03678	0.0441385	0.46253	0.463116	0.113799	0.251478	-0.176039	-1.43223	-1.66061	-0.949302	-0.971265	-0.655971	1.833	15.5637	0.326015	0.200933	0.250031	0.223021	0.0032686	0.0032686	-74948.8	0.0	-4014.1	
102000000	4374	-95803.9	-20842.4	-74961.5	1.63617	2023.96	103.186	0	6.24524	-1.19736	-0.844172	-0.572031	-0.123583	-0.845214	0.122878	0.488435	0.784024	0.884016	0.722522	-0.0167018	-0.883906	-0.122862	0.681657	0.458345	0.256028	0.194875	-0.151443	-1.21459	-1.73243	-1.75338	-1.78843	-2.15411	1.833	16.6389	0.326565	0.208697	0.243108	0.22163	0.00319731	0.00319731	-74961.5	0.0	-4076.3	
