# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola.fasta <DASH-DASH>v0-steps 1000000000 <DASH-DASH>v0-out-log-file delphy_outputs_alpha_a/ebola_delphy_alpha.log <DASH-DASH>v0-log-every 50000 <DASH-DASH>v0-out-trees-file delphy_outputs_alpha_a/ebola_delphy_alpha.trees <DASH-DASH>v0-tree-every 500000 <DASH-DASH>v0-out-delphy-file delphy_outputs_alpha_a/ebola_delphy_alpha.dphy <DASH-DASH>v0-delphy-snapshot-every 1000000 <DASH-DASH>v0-site-rate-heterogeneity
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood_really_logG	branchRates	coalescent	
1750000	55	-46344.8	-19655.9	-26689	0.359737	2014.1	1.90179	0.126454	0.746205	6.97606	0.322098	0.218379	0.188219	0.271304	0.915179	0.00136573	0.00136573	-26689	0.0	81.7205	
1800000	55	-43753.3	-17090.5	-26662.8	0.266811	2014.19	1.51294	0.220095	13.6957	7.97818	0.316897	0.215814	0.203734	0.263556	0.603239	0.00182592	0.00182592	-26662.8	0.0	96.6238	
1850000	55	-41660.4	-15009.9	-26650.4	0.276137	2014.18	1.4151	0.148115	8.53707	5.44927	0.319817	0.210225	0.197948	0.27201	0.497786	0.00222691	0.00222691	-26650.4	0.0	108.85	
1900000	55	-45952.8	-19279.8	-26672.9	0.272499	2014.19	1.34734	0.0984502	3.8709	11.9817	0.317672	0.217016	0.200191	0.265121	1.13293	0.00234313	0.00234313	-26672.9	0.0	123.714	
1950000	55	-45305.3	-18647.9	-26657.4	0.292632	2014.17	1.33223	0.0905252	4.9139	9.3927	0.318624	0.216516	0.19771	0.26715	0.726062	0.00202645	0.00202645	-26657.4	0.0	122.588	
2000000	55	-45151.5	-18488.5	-26662.9	0.27291	2014.19	1.24698	0.103402	5.94538	5.50895	0.313168	0.215269	0.203273	0.26829	0.719166	0.00234563	0.00234563	-26662.9	0.0	123.958	
2050000	55	-45831.5	-19175.2	-26656.3	0.268831	2014.19	1.23138	0.102436	7.6293	8.13461	0.317055	0.213876	0.19849	0.270579	1.13645	0.00261661	0.00261661	-26656.3	0.0	125.016	
2100000	55	-44136.5	-17498.3	-26638.2	0.272719	2014.19	0.996273	0.062686	4.36882	7.5504	0.317997	0.220413	0.195082	0.266508	0.627742	0.00291669	0.00291669	-26638.2	0.0	164.204	
2150000	55	-45042.1	-18385.5	-26656.7	0.264314	2014.19	1.1003	0.0807537	6.55603	8.90293	0.319406	0.215437	0.200066	0.265091	0.670381	0.00278252	0.00278252	-26656.7	0.0	145.524	
2200000	56	-45232.5	-18566.3	-26666.3	0.276023	2014.18	1.11568	0.0697792	5.71121	11.225	0.313482	0.217676	0.196893	0.271949	0.703376	0.00294883	0.00294883	-26666.3	0.0	150.806	
2250000	55	-38131.5	-11493.9	-26637.7	0.290798	2014.17	1.26713	0.085243	2.97275	7.14614	0.322041	0.211823	0.193526	0.27261	0.407353	0.00293336	0.00293336	-26637.7	0.0	130.549	
2300000	55	-36887	-10253.7	-26633.3	0.271109	2014.19	1.16226	0.0617307	0.407472	7.11891	0.317701	0.211593	0.202494	0.268212	0.387342	0.00266669	0.00266669	-26633.3	0.0	130.423	
2350000	55	-40619.2	-13971.5	-26647.7	0.282126	2014.18	1.44723	0.159102	5.77233	15.0708	0.321355	0.211571	0.197241	0.269833	0.457492	0.00235554	0.00235554	-26647.7	0.0	106.492	
2400000	55	-39709.9	-13057	-26653	0.295601	2014.16	1.53579	0.108385	3.78922	12.8176	0.320489	0.210962	0.195634	0.272915	0.437472	0.00166763	0.00166763	-26653	0.0	109.829	
2450000	55	-43223.7	-16578.3	-26645.4	0.316526	2014.14	1.42383	0.0784432	1.65912	9.07578	0.320193	0.215059	0.198758	0.26599	0.566866	0.00227004	0.00227004	-26645.4	0.0	120.923	
2500000	56	-43990.5	-17325.3	-26665.2	0.286664	2014.17	1.43978	0.0869968	0.639219	14.1624	0.316163	0.215705	0.199182	0.268949	0.596995	0.00178256	0.00178256	-26665.2	0.0	111.794	
2550000	55	-44473.8	-17816	-26657.8	0.272606	2014.19	1.41229	0.12445	8.61436	9.40583	0.317595	0.216365	0.198306	0.267735	0.647408	0.00219181	0.00219181	-26657.8	0.0	112.161	
2600000	55	-39119.6	-12459.8	-26659.8	0.296929	2014.16	1.57203	0.19632	10.3674	9.59553	0.321141	0.212346	0.197093	0.26942	0.429497	0.00180937	0.00180937	-26659.8	0.0	95.3032	
2650000	55	-27186.1	-527.02	-26659.1	0.32928	2014.13	1.70451	0.214651	6.61915	8.54234	0.320356	0.207295	0.199353	0.272996	0.280746	0.00123547	0.00123547	-26659.1	0.0	88.2524	
2700000	55	-30967.1	-4325.58	-26641.6	0.27813	2014.18	1.46183	0.137158	8.29077	11.0197	0.317669	0.21187	0.203962	0.266499	0.311207	0.0019171	0.0019171	-26641.6	0.0	110.066	
2750000	55	-9849.68	16748.8	-26598.5	0.260502	2014.2	1.0397	0.106141	11.3127	12.148	0.312687	0.213663	0.201056	0.272594	0.197285	0.00277806	0.00277806	-26598.5	0.0	150.065	
2800000	55	-44942.1	-18303.4	-26638.7	0.262063	2014.2	1.08107	0.129937	13.6579	8.30833	0.317674	0.214368	0.203	0.264957	0.698255	0.0024884	0.0024884	-26638.7	0.0	141.995	
2850000	55	-36543.5	-9927.01	-26616.5	0.270338	2014.19	1.04495	0.0510742	3.01151	10.6892	0.318032	0.219818	0.198542	0.263608	0.375598	0.0027976	0.0027976	-26616.5	0.0	162.504	
2900000	55	-24135	2502.64	-26637.6	0.271459	2014.19	1.25797	0.0962772	6.54602	6.20204	0.321828	0.208314	0.200717	0.269141	0.259723	0.00175309	0.00175309	-26637.6	0.0	131.455	
2950000	55	-32343.6	-5698.64	-26644.9	0.328522	2014.13	1.51586	0.110911	4.34632	8.4638	0.318221	0.212238	0.198608	0.270934	0.324129	0.00208374	0.00208374	-26644.9	0.0	111.804	
3000000	55	-15555.7	11069.4	-26625.1	0.294536	2014.16	1.32057	0.0778373	2.06133	9.01136	0.318053	0.215337	0.201881	0.264729	0.217895	0.00189856	0.00189856	-26625.1	0.0	129.851	
3050000	55	27018.1	53622.5	-26604.5	0.3241	2014.13	1.38885	0.0728739	0.434399	8.00102	0.320816	0.212449	0.19867	0.268065	0.130649	0.00260879	0.00260879	-26604.5	0.0	132.55	
3100000	55	124150	150743	-26592.2	0.334785	2014.12	1.46473	0.078193	1.59581	8.52587	0.312744	0.218458	0.194783	0.274016	0.0729128	0.00179599	0.00179599	-26592.2	0.0	125.364	
3150000	55	80984.3	107581	-26596.4	0.278511	2014.18	1.57926	0.133718	3.88471	11.0727	0.314416	0.21997	0.196262	0.269352	0.0897964	0.00261059	0.00261059	-26596.4	0.0	101.555	
3200000	55	5626.9	32252.7	-26625.8	0.28832	2014.17	1.32036	0.0840923	2.70499	8.28315	0.318818	0.218668	0.19574	0.266775	0.163684	0.00205978	0.00205978	-26625.8	0.0	126.59	
3250000	55	57772	84354.6	-26582.6	0.300045	2014.16	1.43856	0.129259	6.57254	7.33868	0.319765	0.216607	0.199322	0.264306	0.103021	0.00171021	0.00171021	-26582.6	0.0	116.859	
3300000	55	22379.9	48965.1	-26585.2	0.273752	2014.19	1.27067	0.134529	13.0962	6.68716	0.317647	0.213157	0.199343	0.269853	0.136565	0.00233125	0.00233125	-26585.2	0.0	117.85	
3350000	55	75717.7	102295	-26577.2	0.266754	2014.19	1.22934	0.0861552	4.07456	9.97609	0.315448	0.214625	0.198054	0.271873	0.092118	0.00258948	0.00258948	-26577.2	0.0	125.946	
3400000	55	72359.8	98923.8	-26564.1	0.275374	2014.18	1.23385	0.09326	3.15836	7.97445	0.315929	0.213953	0.197536	0.272583	0.0949831	0.00255055	0.00255055	-26564.1	0.0	129.301	
3450000	55	5048.55	31647.7	-26599.1	0.260464	2014.2	1.04095	0.0736622	5.77778	13.8677	0.318917	0.211045	0.200531	0.269506	0.16142	0.00313021	0.00313021	-26599.1	0.0	152.547	
3500000	55	-2756.24	23860.3	-26616.5	0.278769	2014.18	1.32083	0.12527	7.80043	7.09595	0.320699	0.213186	0.19489	0.271225	0.18079	0.00213925	0.00213925	-26616.5	0.0	121.235	
3550000	55	-2439.03	24178.1	-26617.1	0.261954	2014.2	1.27188	0.105962	6.05491	8.83686	0.31948	0.216718	0.194184	0.269618	0.17886	0.00199959	0.00199959	-26617.1	0.0	128.442	
3600000	55	-23516.8	3114.1	-26630.9	0.271637	2014.19	1.33086	0.0921486	5.6111	19.9212	0.317788	0.212933	0.197555	0.271724	0.256927	0.00205965	0.00205965	-26630.9	0.0	120.075	
3650000	55	2326.89	28940	-26613.1	0.276368	2014.18	1.46146	0.127005	8.05319	11.7522	0.321018	0.217192	0.190719	0.271071	0.167398	0.00220648	0.00220648	-26613.1	0.0	104.562	
3700000	55	22134.5	48741.8	-26607.4	0.281634	2014.18	1.35718	0.148351	7.90619	17.0355	0.318407	0.21547	0.197887	0.268235	0.136847	0.0021526	0.0021526	-26607.4	0.0	116.044	
3750000	55	-20554.5	6073.03	-26627.5	0.31821	2014.14	1.40657	0.0986641	1.85635	7.62166	0.31686	0.211768	0.197736	0.273635	0.239775	0.00215407	0.00215407	-26627.5	0.0	124.042	
3800000	55	16700.7	43305.1	-26604.3	0.281549	2014.18	1.3053	0.10852	6.95614	10.1394	0.319322	0.220949	0.197662	0.262066	0.144631	0.00204001	0.00204001	-26604.3	0.0	129.353	
3850000	55	-15795.9	10823.5	-26619.4	0.295938	2014.16	1.39412	0.119589	8.54845	7.69442	0.315814	0.212946	0.204097	0.267142	0.225589	0.00256703	0.00256703	-26619.4	0.0	113.204	
3900000	55	-43292.8	-16632.6	-26660.2	0.339122	2014.12	1.47694	0.0664052	0.123332	4.09694	0.31571	0.213585	0.198035	0.272671	0.557362	0.00170093	0.00170093	-26660.2	0.0	130.351	
3950000	55	-43868.4	-17217.2	-26651.2	0.322894	2014.14	1.35273	0.0987245	5.31413	10.4588	0.32274	0.20983	0.19735	0.27008	0.601742	0.00235431	0.00235431	-26651.2	0.0	128.644	
4000000	55	-44108.1	-17456.8	-26651.3	0.286021	2014.17	1.30639	0.0976269	5.32464	10.2775	0.315221	0.210467	0.201809	0.272504	0.613218	0.00218811	0.00218811	-26651.3	0.0	129.239	
4050000	55	-45831.9	-19171.7	-26660.2	0.29081	2014.17	1.19324	0.0843712	7.64252	9.27183	0.319877	0.21183	0.198323	0.269971	0.801898	0.00269437	0.00269437	-26660.2	0.0	142.624	
4100000	55	-45641.6	-18981.1	-26660.5	0.267927	2014.19	1.31143	0.133498	9.77697	12.6324	0.317127	0.216991	0.197352	0.26853	0.879644	0.00244156	0.00244156	-26660.5	0.0	123.579	
4150000	55	-45668	-18972	-26696	0.3318	2014.13	1.67436	0.121795	1.61476	11.6861	0.320817	0.218656	0.197589	0.262938	0.790885	0.0019788	0.0019788	-26696	0.0	96.4196	
4200000	55	-45642	-18971.7	-26670.3	0.304573	2014.15	1.4344	0.110641	6.42947	7.12278	0.317353	0.215785	0.197685	0.269177	1.27251	0.00205012	0.00205012	-26670.3	0.0	120.785	
4250000	55	-45464.7	-18790.5	-26674.2	0.28313	2014.18	1.26701	0.0947724	7.11405	27.8921	0.319644	0.217587	0.19594	0.266829	1.3344	0.00231162	0.00231162	-26674.2	0.0	125.05	
4300000	55	-44723.7	-18049.1	-26674.6	0.261844	2014.2	1.33307	0.110682	8.28268	11.1867	0.323158	0.209137	0.200708	0.266997	1.69942	0.00216754	0.00216754	-26674.6	0.0	113.944	
4350000	55	-45986.4	-19307.5	-26678.9	0.270747	2014.19	1.64046	0.261299	10.0037	7.64216	0.319367	0.211547	0.198652	0.270435	0.956613	0.00157926	0.00157926	-26678.9	0.0	82.9289	
4400000	55	-33361.2	-6735.58	-26625.6	0.270103	2014.19	1.42273	0.148128	7.92921	9.34047	0.321666	0.21058	0.196692	0.271063	0.331329	0.0021079	0.0021079	-26625.6	0.0	110.057	
4450000	55	-40305.8	-13655.3	-26650.5	0.272059	2014.19	1.25019	0.126041	8.06382	13.2875	0.321812	0.210951	0.199219	0.268018	0.442758	0.00201582	0.00201582	-26650.5	0.0	121.018	
4500000	55	-46026.7	-19362.9	-26663.7	0.264213	2014.19	1.16623	0.0859358	5.96655	11.0132	0.316571	0.209772	0.195056	0.278601	1.03663	0.00280491	0.00280491	-26663.7	0.0	143.63	
4550000	55	-45480.6	-18812.9	-26667.7	0.286534	2014.17	1.18209	0.0766142	1.15084	10.8619	0.322694	0.214127	0.192448	0.270731	1.31266	0.00244794	0.00244794	-26667.7	0.0	142.164	
4600000	55	-45883.8	-19215.9	-26667.9	0.317006	2014.14	1.22987	0.0723474	-1.70482	15.7817	0.319536	0.21844	0.19501	0.267015	0.949821	0.00202	0.00202	-26667.9	0.0	137.743	
4650000	55	-41561.8	-14882.4	-26679.4	0.277758	2014.18	1.21965	0.0726626	3.14917	8.38852	0.316282	0.212098	0.202009	0.269611	2.80515	0.00250042	0.00250042	-26679.4	0.0	140.476	
4700000	56	-44423.6	-17738.2	-26685.4	0.296647	2014.16	1.39241	0.071927	0.75019	9.32564	0.313246	0.214033	0.200914	0.271807	1.68568	0.0025338	0.0025338	-26685.4	0.0	124.446	
4750000	55	-43319.1	-16632	-26687.1	0.28045	2014.18	1.4504	0.141605	6.61936	7.95007	0.324073	0.213269	0.193411	0.269246	2.18122	0.00194297	0.00194297	-26687.1	0.0	106.994	
4800000	55	-40788.2	-14099.8	-26688.4	0.287917	2014.17	1.43053	0.106054	4.05268	10.0347	0.320134	0.213568	0.193528	0.27277	3.23816	0.00223267	0.00223267	-26688.4	0.0	108.89	
4850000	55	-39951.5	-13262.8	-26688.8	0.28391	2014.18	1.48966	0.150869	5.61144	7.91567	0.323448	0.214009	0.192423	0.270121	3.65552	0.00196082	0.00196082	-26688.8	0.0	98.1151	
4900000	55	-42670.5	-16000.7	-26669.8	0.283639	2014.18	1.16017	0.0676686	5.44468	7.41902	0.322751	0.214295	0.196821	0.266134	2.36329	0.0028155	0.0028155	-26669.8	0.0	149.465	
4950000	55	-41558.2	-14892.5	-26665.8	0.276539	2014.18	1.06436	0.0706426	7.27721	10.2636	0.321588	0.215992	0.192695	0.269725	2.83732	0.00259846	0.00259846	-26665.8	0.0	154.838	
5000000	55	-41166.3	-14481.5	-26684.9	0.285702	2014.17	1.26677	0.0933914	7.90191	8.66704	0.317791	0.216724	0.196326	0.269159	3.00522	0.00263159	0.00263159	-26684.9	0.0	130.819	
5050000	55	-38352.7	-11671.9	-26680.9	0.277072	2014.18	1.20166	0.0814182	4.15403	10.5673	0.322668	0.213268	0.198571	0.265492	4.41589	0.00301239	0.00301239	-26680.9	0.0	129.603	
5100000	55	-40347.1	-13680	-26667.1	0.263387	2014.19	1.05745	0.0783693	9.34664	8.86798	0.317934	0.215002	0.200017	0.267046	3.31891	0.00300063	0.00300063	-26667.1	0.0	149.813	
5150000	55	-43323.5	-16646	-26677.5	0.311721	2014.15	1.25425	0.124779	6.5712	6.58027	0.315209	0.214813	0.198131	0.271847	2.21302	0.00235433	0.00235433	-26677.5	0.0	126.746	
5200000	55	-43062.8	-16392.3	-26670.5	0.269836	2014.19	1.20222	0.0887175	6.67666	9.61358	0.319091	0.211187	0.195399	0.274322	2.1821	0.00248261	0.00248261	-26670.5	0.0	135.598	
5250000	55	-44180.8	-17506.5	-26674.2	0.273582	2014.19	1.30606	0.109289	7.42924	10.6191	0.314955	0.214481	0.198862	0.271702	1.87234	0.00220041	0.00220041	-26674.2	0.0	113.57	
5300000	55	-44844.8	-18158.9	-26685.9	0.305863	2014.15	1.73691	0.140009	4.7511	7.02331	0.320648	0.214949	0.195646	0.268757	1.54922	0.00171011	0.00171011	-26685.9	0.0	87.0671	
5350000	55	-42366	-15680.8	-26685.1	0.286574	2014.17	1.49341	0.173714	7.77601	9.26706	0.31435	0.211734	0.200617	0.2733	2.56314	0.00182538	0.00182538	-26685.1	0.0	97.9417	
5400000	55	-44147.2	-17470.9	-26676.4	0.29833	2014.16	1.51362	0.126431	7.91029	7.67257	0.315635	0.219666	0.196209	0.26849	1.85269	0.00185412	0.00185412	-26676.4	0.0	104.119	
5450000	55	-43496.1	-16830.3	-26665.8	0.283071	2014.18	1.3249	0.107142	6.96804	8.12063	0.32149	0.211196	0.195891	0.271423	2.13613	0.002103	0.002103	-26665.8	0.0	124.038	
5500000	55	-44347.5	-17679.8	-26667.7	0.268355	2014.19	1.11149	0.064692	2.25905	10.2433	0.317642	0.218174	0.196867	0.267317	1.75457	0.00312715	0.00312715	-26667.7	0.0	145.962	
5550000	55	-39327.5	-12655.3	-26672.2	0.275188	2014.18	1.18632	0.0672158	5.26417	13.4888	0.321735	0.211103	0.197523	0.26964	3.87747	0.00243572	0.00243572	-26672.2	0.0	136.501	
5600000	55	-43822.7	-17153.6	-26669.1	0.280403	2014.18	1.14834	0.0859853	6.13206	5.28948	0.318404	0.21669	0.198654	0.266251	2.0687	0.00288455	0.00288455	-26669.1	0.0	143.637	
5650000	55	-39871.4	-13188.4	-26683	0.278912	2014.18	1.28971	0.0984652	5.18031	11.8973	0.324704	0.210692	0.195871	0.268734	3.59545	0.00240405	0.00240405	-26683	0.0	122.733	
5700000	55	-42761.2	-16088.7	-26672.5	0.276683	2014.18	1.1036	0.0735514	5.22194	7.44403	0.323679	0.211807	0.193526	0.270988	2.43164	0.00359968	0.00359968	-26672.5	0.0	150.027	
5750000	56	-40398.2	-13707.6	-26690.6	0.312283	2014.15	1.13731	0.0579854	0.6531	8.04546	0.321147	0.210964	0.196135	0.271754	3.3557	0.00287025	0.00287025	-26690.6	0.0	158.457	
5800000	55	-44451.3	-17789.6	-26661.7	0.315539	2014.14	1.21964	0.0510754	-0.974688	6.58811	0.320898	0.21294	0.193244	0.272918	1.62266	0.002953	0.002953	-26661.7	0.0	148.764	
5850000	55	-41822	-15162.1	-26659.9	0.278198	2014.18	1.04274	0.0530071	2.43453	9.03445	0.317433	0.211988	0.198997	0.271582	2.66852	0.00274497	0.00274497	-26659.9	0.0	167.1	
5900000	55	-45376.2	-18713	-26663.2	0.28641	2014.17	1.17874	0.0798394	1.25846	12.9483	0.320895	0.213147	0.202536	0.263422	1.39007	0.00197944	0.00197944	-26663.2	0.0	146.13	
5950000	55	-45808	-19157.1	-26650.9	0.259164	2014.2	1.02537	0.0615271	10.5688	8.68392	0.318687	0.214922	0.196995	0.269395	1.175	0.00292059	0.00292059	-26650.9	0.0	160.891	
6000000	55	-45967.6	-19325.9	-26641.7	0.283327	2014.18	1.02091	0.0582137	6.62194	7.43764	0.32077	0.220268	0.193818	0.265144	0.877305	0.00256517	0.00256517	-26641.7	0.0	164.842	
6050000	55	-44594.6	-17944.7	-26649.9	0.279115	2014.18	0.918597	0.041728	3.88128	6.39926	0.314811	0.209947	0.203008	0.272234	1.63323	0.00300803	0.00300803	-26649.9	0.0	176.677	
6100000	55	-45946.4	-19276.6	-26669.8	0.332262	2014.13	1.33242	0.0758298	2.55607	5.67155	0.321291	0.216309	0.192762	0.269638	1.05502	0.00215751	0.00215751	-26669.8	0.0	136.542	
6150000	56	-45931.3	-19245.7	-26685.6	0.300649	2014.16	1.31854	0.0980795	5.34995	7.85567	0.322381	0.213753	0.195034	0.268832	0.858647	0.00227316	0.00227316	-26685.6	0.0	128.679	
