#node	date	numeric date
NODE_0000118	2020-03-24	2020.227989
MA_MGH_00499|MT520534.1|2020-03-27	2020-03-27	2020.236339
MA_MGH_00622|MT520364.1|2020-03-28	2020-03-28	2020.239071
NODE_0000149	2020-03-18	2020.212620
MA_MGH_01119|MT873449.1|2020-05-02	2020-05-02	2020.334699
NODE_0000122	2020-03-24	2020.228065
MA_MGH_00762|MT873272.1|2020-04-11	2020-04-11	2020.277322
NODE_0000111	2020-03-24	2020.228065
MA_MGH_00179|MT520526.1|2020-03-26	2020-03-26	2020.233607
NODE_0000124	2020-04-01	2020.250000
MA_MGH_00688|MT520332.1|2020-04-06	2020-04-06	2020.263661
MA_MGH_00642|MT520223.1|2020-04-01	2020-04-01	2020.250000
NODE_0000158	2020-02-29	2020.163175
NODE_0000171	2020-02-29	2020.163175
MA_MGH_00426|MT520178.1|2020-03-07	2020-03-07	2020.181694
MA_MGH_00199|MT520543.1|2020-03-27	2020-03-27	2020.236339
NODE_0000113	2020-03-05	2020.176153
MA_MGH_00422|MT520459.1|2020-03-07	2020-03-07	2020.181694
NODE_0000114	2020-03-06	2020.179158
MA_MGH_00434|MT520470.1|2020-03-07	2020-03-07	2020.181694
NODE_0000115	2020-03-07	2020.181694
MA_MGH_00439|MT520509.1|2020-03-07	2020-03-07	2020.181694
MA_MGH_00430|MT520441.1|2020-03-07	2020-03-07	2020.181694
NODE_0000193	2020-03-05	2020.176230
MA_MGH_00441|MT520503.1|2020-03-05	2020-03-05	2020.176230
NODE_0000116	2020-03-06	2020.179250
MA_MGH_00418|MT520446.1|2020-03-07	2020-03-07	2020.181694
NODE_0000119	2020-03-07	2020.181694
MA_MGH_00421|MT520341.1|2020-03-07	2020-03-07	2020.181694
NODE_0000120	2020-03-18	2020.211464
MA_MGH_00558|MT520462.1|2020-03-22	2020-03-22	2020.222678
NODE_0000121	2020-03-20	2020.217102
MA_MGH_00680|MT520306.1|2020-03-22	2020-03-22	2020.222678
MA_MGH_00684|MT520481.1|2020-03-20	2020-03-20	2020.217213
NODE_0000127	2020-03-07	2020.181694
MA_MGH_00419|MT520375.1|2020-03-07	2020-03-07	2020.181694
NODE_0000130	2020-03-17	2020.209583
NODE_0000131	2020-03-18	2020.211749
MA_MGH_00946|MT873150.1|2020-05-02	2020-05-02	2020.334699
MA_MGH_00533|MT520488.1|2020-03-18	2020-03-18	2020.211749
NODE_0000133	2020-03-25	2020.230108
MA_MGH_00876|MT873349.1|2020-04-14	2020-04-14	2020.285519
NODE_0000138	2020-04-03	2020.255081
MA_MGH_00716|MT520352.1|2020-04-08	2020-04-08	2020.269126
NODE_0000135	2020-04-03	2020.255081
MA_MGH_00809|MT873345.1|2020-04-13	2020-04-13	2020.282787
NODE_0000136	2020-04-03	2020.255081
MA_MGH_00855|MT873482.1|2020-04-13	2020-04-13	2020.282787
MA_MGH_01502|MT873098.1|2020-05-07	2020-05-07	2020.348361
NODE_0000217	2020-03-01	2020.165613
NODE_0000128	2020-03-18	2020.212116
