# BEAST v10.5.0
# Generated Thu Oct 16 11:40:48 UTC 2025 [seed=1760614845301]
# -beagle -working beastX_run_alpha_a/ebola_dudas_alpha.xml
# keywords: skygrid
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skygrid
4000000	-68143.42002238907	-10920.15835905922	-57223.26166332985	49.58430507449731	1966.2266549255028	3774.9450953926516	12.4882	1.882996020280244	1.7867216014420109	2.231346930809494	2.349648282051858	2.622721349261285	2.5173918730552445	3.0818558654003163	3.6503985824334535	3.9329144643873932	4.49335922151357	5.281368268076724	6.217781082372683	7.272210860619334	7.751531846605978	8.587059253221138	8.661430171496459	8.72625422710562	8.643639433902159	8.612191569836185	8.812652500314682	8.600782519423388	8.71545362968945	8.068855999886466	7.405447448739802	5.992254746748097	2.0	11.310926355532823	0.3121847119453116	0.2211754846698383	0.20011166637802671	0.2665281370068232	0.17061845661617775	3.950671261029017E-5	3.950671261029016E-5	-57223.26166332985	0.0	-10908.112312846779
4200000	-67674.11133506977	-10528.637142957868	-57145.474192111906	24.32204538505226	1991.4889146149478	3071.9595057386346	12.4882	2.4023207599600314	2.8349034702493126	2.034337423694005	2.5857627098927325	2.898263984643487	2.477468042678614	2.562875115367704	3.301452146477037	4.031712217578719	4.326190047133881	5.240973049976085	6.358505801617361	7.038501498275084	7.46230262826893	8.163408214236878	8.91341773495963	8.791889736725535	8.911458203853854	8.5647031776124	8.017668214160404	7.8274103499872405	8.068062011496002	7.297529186424112	6.869110586231137	5.689959609899375	2.0	10.192782519699463	0.3143942883635547	0.2165678549733266	0.20117354968091536	0.26786430698220337	0.19477898664419807	5.031557126824184E-5	5.031557126824181E-5	-57145.474192111906	0.0	-10516.762539167023
4400000	-67128.42561001364	-10059.088527643076	-57069.33708237056	18.931536107789114	1996.879423892211	2203.646500571385	12.4882	2.48703024188288	1.983916910533177	2.450495911073381	2.4526768369039194	2.5600795969796772	2.1930516398281537	2.8794035383859398	3.307731499096421	3.987864182202116	4.159562091023726	4.557191285517599	5.238709014740034	6.167106107954963	6.965051516818347	7.27493280075602	7.282734486428855	7.2268669476163385	6.994891972857092	7.297307578565238	7.381852305370235	7.286833320564276	7.10871552873934	6.831523314162195	6.099637330460605	5.250158259313947	2.0	9.847919801091834	0.3106540325315198	0.21837592250416463	0.20125172351695675	0.26971832144735886	0.23872378708034872	6.946479962640734E-5	6.946479962640705E-5	-57069.33708237056	0.0	-10047.233134280268
4600000	-66291.86811435162	-9286.265689377851	-57005.60242497376	11.018537530437612	2004.7924224695623	1530.1516287005988	12.4882	1.7020221632113999	2.3324806097014457	2.1839890643350626	2.0576158104370306	2.245589080581009	1.9980750308332291	2.1469756554565866	3.2176804927241034	3.729742969821415	3.622956470955561	4.476374813394261	5.294563522138205	5.59235726785687	6.574325329477289	6.805344080003464	6.774081404933829	6.970522827172404	6.999342601613116	7.164761787247469	7.144413681142603	6.53558641150148	6.385182901108835	5.848016378975718	5.497313293317086	4.5025070311361555	2.0	11.478206524642788	0.31146166972839073	0.21702421879688133	0.20274655119920668	0.2687675602755212	0.2280571593419222	9.927286124318114E-5	9.9272861243181E-5	-57005.60242497376	0.0	-9274.134058270274
4800000	-65703.23784616744	-8798.709902309216	-56904.52794385822	9.357235277884207	2006.4537247221158	1169.037581834096	12.4882	1.5854963641314943	1.573318380557388	1.920820339384709	2.105472885564549	2.313642102101899	2.232775721057789	2.1444803929015857	2.726314506101998	3.240203261635558	3.368407914055276	3.7999276297401425	4.397177210626351	5.571449041353749	5.947482283819571	6.032510755491854	6.412325118351626	6.291183958951635	6.12636778711671	6.245451858902634	6.33155569297183	6.4310348296848465	6.1332626772024215	5.679104187776505	5.113241945509015	4.110193913199295	2.0	9.854781582248958	0.31020992667800934	0.22537319297348793	0.20161872600851466	0.262798154339988	0.21524160597560796	1.2517759430323005E-4	1.2517759430323008E-4	-56904.52794385822	0.0	-8786.876720604692
5000000	-65106.25664583755	-8322.171848262213	-56784.08479757534	7.236956205181712	2008.5740037948183	839.1928751983726	12.4882	1.2272854104677882	1.2776727749282093	1.2816471779177834	1.5024789184869207	2.193414210797278	2.040534686484882	2.40356104649025	2.863665016250954	3.4647685628673104	3.403955485848342	4.0343181537751995	4.116572786606275	5.008443332262533	6.048135647681564	6.03549262419767	6.00560940932742	5.651523589525535	5.4384359926929795	5.3088587724224165	5.378838668356277	5.049844295419926	4.575808887769043	4.071707714807828	3.8587899637384533	3.251576314063253	2.0	10.359785880487388	0.3090733888205283	0.2217288303819325	0.20236699251825369	0.2668307882792854	0.22024525612262832	1.82126916101595E-4	1.8212691610159477E-4	-56784.08479757534	0.0	-8310.241695084827
5200000	-64587.51245571518	-7862.555685961002	-56724.95676975418	6.722949512917678	2009.0880104870823	670.8403838233146	12.4882	0.4096242425679055	0.594879384463563	1.2740147481455768	1.4895161983803606	1.7159617382216257	1.9237499841785526	2.1219925796276105	2.6491399802448186	2.9827976608113964	3.214285355113161	3.234098535640052	3.9929341151171727	4.8995609655269385	5.125155148966394	5.320761566432128	5.283957963001914	5.0728247667544455	5.037386501984136	5.16176378697241	4.668937884004787	4.752043023899143	4.620278974148625	3.875591616633145	3.4033534701691583	2.634846562443564	2.0	10.684594408232643	0.3128668721099257	0.2224462824599604	0.19708475848213536	0.2676020869479783	0.20928992484398706	2.247993313159594E-4	2.2479933131596024E-4	-56724.95676975418	0.0	-7850.578877370202
5400000	-64228.32848346952	-7542.164052527964	-56686.16443094156	4.884275804045861	2010.926684195954	556.6206794227262	12.4882	1.2698671937069086	0.9708071555314044	0.9789437612445733	0.9951771863724382	1.7959182265023181	1.6159453202367762	2.1538948628291927	2.7654985807641803	3.1293552863811933	3.0632694201746276	3.5373191430780095	3.8415601033617093	4.626126146763346	5.2001449630647025	4.812781750906028	4.946184906483563	4.794397394747596	4.592771681532723	4.390021828876338	4.224205657488269	4.242318170523743	4.005096408652408	3.4601579191898995	2.8359858751260534	1.9384016195560339	2.0	10.267327003328747	0.3120212481179296	0.21643310720017844	0.20288294323941222	0.26866270144247956	0.23569461983935905	2.7218661918649916E-4	2.7218661918650003E-4	-56686.16443094156	0.0	-7530.2350655084365
5600000	-63697.29616121885	-7039.714064859243	-56657.58209635961	4.842424140664479	2010.9685358593356	442.0658106031386	12.4882	0.28421053841904326	0.6289168533380017	1.0047179321512745	0.73736944556983	1.166363038024794	1.0072484236335661	1.7425600146291127	2.4599262355014746	2.7625862433891255	3.108289187347713	3.3254071472510383	3.4233048270695132	4.527223052073754	4.789610177175506	4.729355595404649	4.681597422443972	4.2788933622338305	3.8059205796038857	3.2938815280862808	3.0715983774177102	2.684110362019735	2.796074297943555	2.6144810663383	1.88228801998667	1.9863880443287665	2.0	10.882469569899886	0.3127656253310186	0.22449870834209973	0.1955428511549125	0.26719281517196897	0.23756425770490963	3.472054743499872E-4	3.472054743499882E-4	-56657.58209635961	0.0	-7027.674448454717
5800000	-63137.30599988727	-6586.693809208242	-56550.61219067903	3.0606496706861845	2012.7503103293138	359.65155961404446	12.4882	0.7183561913050295	0.7258165645328831	1.0316328980732485	1.4005022999060535	1.0560918566261703	1.1990818991878365	1.435778962678905	2.3970861233546126	2.708710012004068	2.683538770307961	3.1387950350321634	3.372247297798897	4.191721367382501	4.398906522811396	4.24393710208109	4.2312016788919475	3.6189764832542997	3.454726044222544	2.6580056878437843	2.983368481963602	2.4797118187202862	1.8958194539689381	1.7243102400140857	1.3996075078432582	0.7112545518991364	2.0	10.658115314949185	0.3079707047047376	0.22238549808495872	0.20172624704353828	0.2679175501667652	0.24151891421437294	4.3138725312031473E-4	4.3138725312031587E-4	-56550.61219067903	0.0	-6574.689424708869
6000000	-62770.426260163375	-6215.5390211768035	-56554.88723898657	2.707551966856112	2013.103408033144	304.63119495295103	12.4882	0.201855449250919	0.5210412160915425	0.6248559255084123	0.8065796149845318	1.2168990708482181	1.027970600615904	1.5675859142927817	2.1339053305327287	2.5618284051580584	2.3764500003541214	3.1566736654377725	3.0943065971557364	3.951504130971855	4.223071960085173	3.9249467606980555	3.9825791758552276	3.2550350537362376	3.201219644062344	2.254580836846092	2.0522087021567708	1.8197947850187846	1.604116903830358	0.9355744666088327	0.9262000194710164	0.1734996669603582	2.0	10.40000125205198	0.31061637809932935	0.22483420652462913	0.19707211859339313	0.2674772967826482	0.23694195122837522	4.804580589501539E-4	4.8045805895015494E-4	-56554.88723898657	0.0	-6203.584974622667
