# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/h5n1-andersen-e756a15-ALL_full_dates_only.fasta <DASH-DASH>v0-steps 20000000000 <DASH-DASH>v0-out-log-file delphy_outputs_alpha_b/h5n1-andersen-e756a15-ALL_full_dates_only_alpha_b.log <DASH-DASH>v0-log-every 2000000 <DASH-DASH>v0-out-trees-file delphy_outputs_alpha_b/h5n1-andersen-e756a15-ALL_full_dates_only_alpha_b.trees <DASH-DASH>v0-tree-every 20000000 <DASH-DASH>v0-out-delphy-file delphy_outputs_alpha_b/h5n1-andersen-e756a15-ALL_full_dates_only_alpha_b.dphy <DASH-DASH>v0-delphy-snapshot-every 20000000 <DASH-DASH>v0-site-rate-heterogeneity <DASH-DASH>v0-target-coal-prior-cells 1000 <DASH-DASH>v0-pop-model skygrid <DASH-DASH>v0-skygrid-prior-double-half-time 0.25 <DASH-DASH>v0-skygrid-type staircase <DASH-DASH>v0-skygrid-disable-low-pop-barrier <DASH-DASH>v0-skygrid-num-parameters 23 <DASH-DASH>v0-skygrid-cutoff 1.833
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	skygrid.isloglinear	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood_really_logG	branchRates	skygrid	
38000000	4487	-107710	-34574.9	-73134.7	1.65129	2023.94	110.057	0	6.24524	-1.21455	-0.913249	-0.53615	-0.0473523	-0.286411	-0.116797	0.861859	1.13043	1.13556	1.01481	0.221463	-0.857957	0.274695	0.859638	0.543801	0.166245	0.440293	-0.101553	-0.979339	-1.85999	-1.13768	-0.623661	-0.189001	1.833	17.784	0.330463	0.204599	0.245755	0.219183	0.504742	0.00319892	0.00319892	-73134.7	0.0	-4477	
40000000	4478	-106431	-33497.5	-72933.5	1.6593	2023.93	108.59	0	6.24524	-1.13522	-1.01378	-0.548984	-0.103937	-0.420404	0.0579766	0.77885	0.949742	1.08524	0.94708	0.068056	-0.755333	0.440331	0.527013	0.442885	0.494119	0.420855	0.0834723	-1.04063	-1.13683	-1.20693	-0.480753	-0.156161	1.833	17.6105	0.320826	0.204962	0.24499	0.229222	0.465244	0.00311389	0.00311389	-72933.5	0.0	-4378.49	
42000000	4464	-106390	-33675.8	-72714.6	1.67455	2023.92	109.711	0	6.24524	-1.28951	-0.990044	-0.545279	-0.275187	-0.364425	-0.0656125	0.703908	1.02668	1.04914	0.893706	0.254345	-0.663759	0.571582	0.673805	0.556398	0.5656	0.288444	0.27431	-1.47313	-1.44403	-1.42571	-1.29103	-0.938611	1.833	17.6737	0.327503	0.202312	0.249633	0.220552	0.463458	0.0031419	0.0031419	-72714.6	0.0	-4401.12	
44000000	4460	-106213	-33540.7	-72672.6	1.64364	2023.95	106.205	0	6.24524	-1.04558	-1.1484	-0.603301	-0.275211	-0.600287	-0.330054	0.800601	1.04485	1.01256	0.767019	0.297029	-0.725443	0.173685	0.461269	0.651634	0.202655	0.188002	-0.467694	-1.51208	-1.80793	-1.86292	-2.0238	-1.88919	1.833	17.6988	0.333528	0.207252	0.243594	0.215626	0.48556	0.00330777	0.00330777	-72672.6	0.0	-4273.24	
46000000	4455	-105575	-33010.4	-72564.1	1.64826	2023.95	105.358	0	6.24524	-0.878513	-1.26535	-0.56097	-0.301163	-0.485709	-0.125525	0.647627	0.875629	0.977545	0.896246	0.303089	-1.00135	-0.0040019	0.682037	0.681575	0.200599	0.121918	-0.444595	-1.49408	-1.86068	-1.6891	-1.55344	-1.48426	1.833	16.8753	0.323704	0.202393	0.247005	0.226899	0.442276	0.00322198	0.00322198	-72564.1	0.0	-4222.36	
48000000	4449	-105958	-33419.7	-72538.5	1.63759	2023.96	106.322	0	6.24524	-1.03251	-0.988734	-0.480053	-0.180368	-0.555294	0.112746	0.6603	1.02959	1.02567	0.763758	0.153579	-0.80583	0.0439309	0.63453	0.633804	0.228791	0.296028	-0.527682	-0.868145	-1.7088	-1.58069	-2.24805	-3.07852	1.833	17.2084	0.325186	0.204056	0.247199	0.22356	0.470203	0.00317533	0.00317533	-72538.5	0.0	-4260.55	
50000000	4442	-105906	-33404.9	-72501.3	1.64039	2023.95	106.628	0	6.24524	-0.917168	-0.799434	-0.360918	-0.167568	-0.52372	-0.27032	0.589224	0.978672	1.12222	0.855041	0.108492	-1.05359	0.0829191	0.891983	0.504936	0.224378	0.176355	-0.316284	-1.57088	-1.70586	-1.35188	-1.37032	-1.47016	1.833	16.5532	0.326616	0.209041	0.242737	0.221607	0.466551	0.00326106	0.00326106	-72501.3	0.0	-4295.44	
52000000	4445	-105875	-33379.7	-72495.7	1.60612	2023.99	105.19	0	6.24524	-1.07975	-0.984885	-0.415709	-0.0560984	-0.485971	-0.0992818	0.432368	0.805624	0.944671	0.715885	0.0681634	-0.966649	-0.0385511	0.690854	0.676756	0.275348	0.280424	-0.1169	-1.3873	-1.79362	-1.5681	-1.42786	-1.71487	1.833	16.843	0.327237	0.204512	0.245804	0.222446	0.459917	0.00318102	0.00318102	-72495.7	0.0	-4182.91	
54000000	4444	-106814	-34291.2	-72523	1.59714	2024	105.089	0	6.24524	-1.0125	-1.0108	-0.603528	-0.118303	-0.70937	-0.213817	0.709212	0.965468	1.04108	0.77455	0.237001	-0.688635	0.100796	0.7406	0.437503	0.207569	0.277917	-0.350793	-1.37397	-1.63222	-2.49949	-2.47859	-2.04954	1.833	17.2424	0.324264	0.200594	0.248346	0.226796	0.490201	0.00327083	0.00327083	-72523	0.0	-4234.85	
56000000	4443	-106141	-33607.6	-72533.8	1.58449	2024.01	105.954	0	6.24524	-1.00816	-0.868777	-0.437188	-0.224165	-0.481104	-0.144352	0.59906	0.818492	1.03093	0.739393	0.178982	-0.864677	0.276386	0.563375	0.557958	0.186013	0.277898	-0.248548	-1.71029	-2.1428	-1.73251	-1.93895	-1.96474	1.833	17.511	0.325513	0.20637	0.244275	0.223842	0.463977	0.00316887	0.00316887	-72533.8	0.0	-4255.43	
58000000	4446	-106510	-34088.4	-72421.8	1.64684	2023.95	105.381	0	6.24524	-0.980712	-0.84537	-0.379643	-0.0236831	-0.406797	0.000374485	0.695257	0.950884	0.961172	0.710087	0.136646	-0.809761	0.206353	0.612707	0.515291	0.316195	0.251154	-0.192429	-1.52637	-1.51202	-2.26043	-2.51713	-2.6948	1.833	16.3798	0.32174	0.202088	0.247908	0.228264	0.494564	0.00322848	0.00322848	-72421.8	0.0	-4216.31	
60000000	4445	-104571	-32273.3	-72297.6	1.63624	2023.96	104.21	0	6.24524	-0.976477	-1.10446	-0.565718	-0.0779843	-0.637861	-0.0654674	0.592843	1.01334	0.969001	0.702774	0.239562	-0.661843	0.0290683	0.63008	0.409589	0.15167	0.165137	-0.306879	-1.53765	-1.71848	-3.07788	-3.39785	-3.09492	1.833	15.4145	0.321961	0.204005	0.245923	0.228112	0.424968	0.00326702	0.00326702	-72297.6	0.0	-4157.58	
62000000	4441	-106447	-33953.2	-72493.8	1.64757	2023.95	104.069	0	6.24524	-0.842989	-1.2685	-0.545897	-0.164827	-0.46015	-0.0285521	0.604086	1.04926	0.991244	0.745525	0.0561605	-0.768108	0.186368	0.647295	0.427947	0.388636	0.141054	-0.359068	-1.31021	-2.14078	-2.63642	-2.24574	-2.21141	1.833	17.6129	0.323923	0.202535	0.246291	0.227251	0.49921	0.00334271	0.00334271	-72493.8	0.0	-4149.95	
64000000	4436	-105299	-33069.4	-72229.4	1.61602	2023.98	104.316	0	6.24524	-1.01526	-1.26147	-0.64609	-0.211171	-0.621024	0.0752208	0.822497	1.02167	1.05574	0.796697	0.204449	-0.89847	0.292083	0.613209	0.181288	0.441529	0.146208	-0.506923	-1.06976	-1.29955	-1.18421	-1.03244	-0.820085	1.833	17.0765	0.331394	0.207031	0.242632	0.218943	0.455914	0.0032215	0.0032215	-72229.4	0.0	-4183.04	
66000000	4434	-106569	-34084.1	-72484.5	1.60601	2023.99	104.831	0	6.24524	-1.18869	-1.16824	-0.629499	-0.0446335	-0.485335	-0.0793387	0.713626	0.992374	1.10157	0.806985	0.183335	-0.697683	0.113955	0.721975	0.444035	0.358325	0.192643	-0.438177	-1.23194	-1.60234	-1.40242	-0.957699	-0.535324	1.833	17.443	0.327553	0.202029	0.248378	0.222041	0.485743	0.00317876	0.00317876	-72484.5	0.0	-4183.05	
68000000	4432	-106121	-33675.7	-72445.6	1.61777	2023.98	105.737	0	6.24524	-1.29074	-1.18691	-0.514817	-0.175459	-0.589455	-0.00256275	0.715273	0.83244	1.04659	0.888567	0.138123	-0.770653	0.278578	0.500841	0.498142	0.490959	0.244176	-0.26146	-1.5837	-1.16458	-0.757011	-0.89614	-1.07916	1.833	17.9636	0.331508	0.200838	0.249041	0.218613	0.484746	0.00328748	0.00328748	-72445.6	0.0	-4256.8	
70000000	4425	-107411	-34949.7	-72461.8	1.58877	2024.01	106.143	0	6.24524	-1.0637	-0.853322	-0.479655	-0.177709	-0.525405	-0.113927	0.72469	0.90133	1.00236	0.837787	0.137966	-0.828842	0.165361	0.501444	0.51219	0.328929	0.167582	-0.374045	-1.2067	-1.2867	-1.53355	-1.7679	-1.7215	1.833	14.9762	0.322509	0.204121	0.248341	0.225029	0.520076	0.00312303	0.00312303	-72461.8	0.0	-4283.24	
72000000	4425	-105571	-33353.7	-72217.6	1.59567	2024	105.045	0	6.24524	-1.24137	-1.13435	-0.414086	-0.186427	-0.58612	0.0965051	0.733449	1.02982	1.0464	0.83633	-0.0882799	-0.896002	0.204493	0.616923	0.384886	0.38468	0.110485	-0.244901	-1.51262	-1.7211	-1.69114	-1.49421	-1.67991	1.833	16.7086	0.328395	0.203699	0.250876	0.21703	0.460715	0.00326516	0.00326516	-72217.6	0.0	-4182.5	
74000000	4405	-106623	-34520.9	-72101.8	1.61491	2023.98	103.638	0	6.24524	-0.975747	-0.964921	-0.618213	-0.279091	-0.455185	-0.00359051	0.60299	0.79398	1.04944	0.718243	-0.158987	-0.725489	0.31752	0.732694	0.345229	0.229873	0.0936994	-0.382041	-1.20794	-1.80383	-1.75526	-1.45526	-1.51391	1.833	16.4037	0.326651	0.202472	0.247359	0.223518	0.533166	0.00319519	0.00319519	-72101.8	0.0	-4119.22	
76000000	4406	-106392	-34302.6	-72088.9	1.58263	2024.01	103.807	0	6.24524	-1.04998	-0.909362	-0.409586	-0.113654	-0.478403	-0.215084	0.913036	0.769625	0.973142	0.773097	-0.0230413	-0.933126	0.0759959	0.820859	0.425376	0.311211	0.221223	-0.440922	-1.5163	-0.99964	-0.69996	-0.898079	-0.866587	1.833	15.5229	0.325136	0.197622	0.252771	0.224471	0.512706	0.00327118	0.00327118	-72088.9	0.0	-4127.55	
78000000	4409	-105151	-33128.6	-72022.1	1.59008	2024	102.896	0	6.24524	-0.864253	-1.02874	-0.71303	-0.165248	-0.455352	0.0121239	0.768472	0.794239	0.831349	0.842642	0.0640463	-0.509128	0.328795	0.649134	0.470792	0.35477	0.204425	-0.645947	-1.35191	-1.32047	-1.86794	-2.07657	-1.51873	1.833	15.3614	0.321738	0.204889	0.252845	0.220529	0.460366	0.00335899	0.00335899	-72022.1	0.0	-4102.04	
80000000	4410	-106116	-34046.4	-72069.4	1.5995	2023.99	102.481	0	6.24524	-0.980256	-1.10113	-0.394369	-0.379003	-0.474418	0.197455	0.766568	0.751179	0.937537	0.686608	-0.00283884	-0.985025	0.190814	0.552223	0.37902	0.296559	0.0377466	-0.550304	-1.42258	-1.57338	-1.48111	-1.89246	-1.31029	1.833	15.8819	0.333411	0.198783	0.245533	0.222273	0.522192	0.00336586	0.00336586	-72069.4	0.0	-4072.96	
82000000	4405	-105046	-33134.2	-71911.8	1.64483	2023.95	101.767	0	6.24524	-1.11691	-0.949039	-0.690757	-0.175268	-0.523558	-0.0803024	0.548221	1.01236	0.951576	0.790542	-0.0872694	-1.03771	-0.000971462	0.490297	0.480863	0.456662	-0.0986652	-0.337902	-1.31231	-1.82579	-1.78309	-2.20248	-2.36239	1.833	15.6181	0.324104	0.207903	0.252277	0.215716	0.46049	0.00327478	0.00327478	-71911.8	0.0	-3986.9	
84000000	4401	-106785	-34741.2	-72043.7	1.62591	2023.97	102.106	0	6.24524	-1.05013	-0.906282	-0.319798	-0.11949	-0.433526	-0.166703	0.850911	0.697939	0.836614	0.870623	0.0256977	-1.11538	-0.117422	0.57083	0.377278	0.281267	0.0620592	-0.216336	-1.58108	-2.03121	-1.67818	-2.02496	-1.89653	1.833	16.8801	0.322244	0.202099	0.249533	0.226123	0.535668	0.00319152	0.00319152	-72043.7	0.0	-4051.24	
86000000	4401	-105103	-33108.1	-71994.5	1.63716	2023.96	103.316	0	6.24524	-1.13395	-0.917692	-0.553168	-0.0865525	-0.681574	-0.245809	0.746134	0.844828	1.03569	0.708733	0.0219954	-1.10148	-0.0218581	0.587711	0.578403	0.430332	-0.100325	-0.138822	-1.3097	-1.71304	-1.53818	-2.13227	-2.92971	1.833	16.7213	0.327991	0.198776	0.247316	0.225917	0.457189	0.00328022	0.00328022	-71994.5	0.0	-4078.99	
88000000	4394	-106636	-34631.8	-72003.8	1.58554	2024.01	101.453	0	6.24524	-1.11299	-1.02519	-0.723873	-0.19418	-0.504081	0.301036	0.935526	0.918573	1.03117	0.662933	0.0865505	-1.00121	0.103369	0.318128	0.3124	0.105162	-0.042406	-0.488185	-1.06989	-1.6829	-1.5408	-1.65579	-1.47008	1.833	18.8938	0.331012	0.204407	0.241296	0.223284	0.522354	0.00318512	0.00318512	-72003.8	0.0	-3972.26	
90000000	4389	-105687	-33821.7	-71865.7	1.57226	2024.02	101.173	0	6.24524	-1.07762	-0.998864	-0.58169	-0.199964	-0.554982	0.0640027	0.506117	0.887874	1.06753	0.633809	0.00541149	-1.14727	0.0725482	0.538003	0.394111	0.206883	0.22405	-0.234701	-1.59665	-1.53811	-1.75469	-1.30178	-1.00769	1.833	17.4969	0.327882	0.20091	0.24995	0.221259	0.501541	0.00331541	0.00331541	-71865.7	0.0	-3967.6	
92000000	4385	-105374	-33753.3	-71620.5	1.64301	2023.95	100.289	0	6.24524	-1.1113	-1.14999	-0.543144	-0.247313	-0.602336	-0.212008	0.461676	0.858425	0.971679	0.676665	0.0586785	-1.15406	-0.0756601	0.545476	0.31751	0.255878	0.098771	-0.0279745	-1.34731	-1.24214	-1.16492	-1.47206	-1.67905	1.833	16.162	0.322805	0.20559	0.245468	0.226137	0.492527	0.00333269	0.00333269	-71620.5	0.0	-3885.65	
94000000	4383	-105640	-33859.6	-71780	1.59688	2024	101.597	0	6.24524	-0.877382	-0.938944	-0.395867	-0.0720611	-0.809978	0.0820906	0.597957	0.893123	0.902915	0.759775	0.0446995	-1.09472	0.12453	0.494827	0.482633	0.325608	0.0598938	-0.490311	-1.03991	-1.58912	-1.66221	-1.43285	-1.62289	1.833	16.0424	0.335182	0.199746	0.24472	0.220352	0.503351	0.00334636	0.00334636	-71780	0.0	-4009.86	
96000000	4387	-105492	-33809.1	-71683.2	1.65398	2023.94	99.9176	0	6.24524	-0.867306	-0.983359	-0.644144	-0.0691554	-0.649418	0.0379067	0.433539	0.800596	0.786228	0.889267	-0.0213252	-1.10308	-0.0817733	0.591803	0.458594	0.251568	0.094555	-0.828059	-1.50862	-1.65935	-0.777021	-1.20421	-1.52706	1.833	17.396	0.329071	0.204674	0.246131	0.220124	0.505012	0.00334319	0.00334319	-71683.2	0.0	-3884.57	
98000000	4388	-106106	-34301.3	-71804.5	1.70473	2023.89	102.194	0	6.24524	-0.935169	-1.15872	-0.640754	-0.0941599	-0.521528	0.118434	0.484996	0.738459	0.783064	0.840515	0.0904336	-1.19812	-0.0173795	0.667028	0.375279	0.233773	-0.00403681	-0.706199	-1.68149	-1.33125	-1.01331	-2.15343	-1.98942	1.833	16.3339	0.330807	0.201934	0.245485	0.221773	0.51394	0.00328474	0.00328474	-71804.5	0.0	-4026.93	
100000000	4383	-106714	-34919.4	-71794.3	1.60926	2023.98	100.834	0	6.24524	-0.936731	-1.16474	-0.68385	-0.0952528	-0.577114	-0.171145	0.725939	0.747525	0.969001	0.798861	0.120527	-1.14643	-0.0727711	0.301434	0.410275	0.271588	-0.0158399	-0.635541	-1.56834	-1.78781	-1.77862	-1.99505	-1.64698	1.833	17.2081	0.331208	0.204174	0.241515	0.223103	0.527793	0.00313933	0.00313933	-71794.3	0.0	-3931.71	
