# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola_dudas.fasta <DASH-DASH>v0-steps 10000000000 <DASH-DASH>v0-out-log-file delphy_outputs_alpha_a/ebola_dudas_alpha_delphy.log <DASH-DASH>v0-log-every 2000000 <DASH-DASH>v0-out-trees-file delphy_outputs_alpha_a/ebola_dudas_alpha_delphy.trees <DASH-DASH>v0-tree-every 10000000 <DASH-DASH>v0-out-delphy-file delphy_outputs_alpha_a/ebola_dudas_alpha_delphy.dphy <DASH-DASH>v0-delphy-snapshot-every 10000000 <DASH-DASH>v0-site-rate-heterogeneity <DASH-DASH>v0-pop-model skygrid <DASH-DASH>v0-skygrid-type staircase <DASH-DASH>v0-skygrid-prior-double-half-time 0.5 <DASH-DASH>v0-skygrid-disable-low-pop-barrier <DASH-DASH>v0-skygrid-num-parameters 25 <DASH-DASH>v0-skygrid-cutoff 2
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	skygrid.isloglinear	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood_really_logG	branchRates	skygrid	
20000000	2866	-86428.7	-22219.5	-64209.3	1.87148	2013.94	136.031	0	12.4882	-0.47036	-0.495885	-0.136795	0.155369	0.419215	0.343389	0.817965	1.08931	1.28613	1.84339	2.40867	2.50425	2.73621	2.42647	1.62388	1.08516	0.266799	-0.671158	-0.547644	-0.965939	-0.982829	-1.48571	-1.56407	-1.72699	-1.94564	2	9.81387	0.312761	0.219481	0.197864	0.269894	0.363962	0.0011438	0.0011438	-64209.3	0.0	-3925.66	
22000000	2847	-83896.8	-20080.1	-63816.8	1.81179	2014	135.885	0	12.4882	-0.885579	-0.557648	0.244842	0.0408106	0.214636	0.462102	1.01421	1.50582	1.41572	1.81088	2.36222	2.57073	2.8339	2.45703	1.48292	0.965007	0.404022	-0.932161	-0.728586	-0.765608	-0.685737	-1.10222	-1.01478	-1.20622	-1.50847	2	10.729	0.31495	0.222724	0.193709	0.268617	0.339949	0.00115091	0.00115091	-63816.8	0.0	-3900.19	
24000000	2835	-88104.3	-24249.7	-63854.6	1.76265	2014.05	132.312	0	12.4882	-0.138178	-0.371742	-0.214564	0.0809867	0.042226	0.282716	0.802393	1.18206	1.14935	1.54058	2.43992	2.46668	2.76434	2.4468	1.25649	0.901519	0.279373	-0.819032	-0.465307	-1.02998	-2.14498	-2.20995	-2.47999	-2.06172	-2.01544	2	11.3088	0.307105	0.223168	0.196451	0.273275	0.403609	0.00120154	0.00120154	-63854.6	0.0	-3794.99	
26000000	2825	-88578.5	-24882.6	-63695.9	1.76736	2014.04	131.094	0	12.4882	-0.642936	-0.428729	0.100181	0.277994	0.248274	0.508108	0.921774	1.34682	1.19348	1.44132	2.41057	2.57066	2.77947	2.23651	1.44057	1.17753	0.0619205	-0.814535	-1.13291	-1.03446	-1.36011	-1.8327	-1.91864	-1.82554	-1.822	2	11.3677	0.311582	0.225314	0.196166	0.266938	0.407404	0.00117397	0.00117397	-63695.9	0.0	-3773.46	
28000000	2829	-83792.5	-20213.9	-63578.6	1.80522	2014.01	130.802	0	12.4882	-0.262516	0.0439091	0.255867	0.268658	0.300475	0.478035	0.663236	1.46516	1.24145	1.66887	2.44265	2.27473	2.79626	2.21095	1.4602	1.21534	-0.264065	-0.817879	-0.943478	-1.56908	-1.96742	-2.14118	-2.35883	-2.85384	-2.76619	2	10.3653	0.304862	0.222803	0.203155	0.26918	0.335005	0.00115806	0.00115806	-63578.6	0.0	-3727.61	
30000000	2830	-85350.2	-21591.9	-63758.2	1.75218	2014.06	136.502	0	12.4882	0.0843367	-0.156628	0.286761	0.302835	0.301413	0.357744	1.07931	1.3958	1.5357	1.79436	2.43769	2.61373	2.69219	2.44122	1.47812	1.32401	-0.225497	-0.654132	-0.646974	-0.683556	-1.06201	-0.796301	-0.764012	-0.509743	-0.528025	2	9.9562	0.317955	0.218593	0.200836	0.262616	0.361484	0.00115211	0.00115211	-63758.2	0.0	-3892.06	
32000000	2827	-86076.1	-22403	-63673	1.80687	2014	135.807	0	12.4882	-0.20174	-0.500425	0.0161328	0.371265	0.216141	0.431353	0.67312	1.25332	1.2809	1.71376	2.32948	2.53687	2.94091	2.30276	1.52804	1.15425	-0.100824	-0.809557	-1.09304	-0.779298	-0.908604	-0.872052	-0.560759	-0.557928	-0.747919	2	11.1128	0.316026	0.21995	0.198636	0.265388	0.36469	0.00109484	0.00109484	-63673	0.0	-3897.96	
34000000	2824	-82637.8	-19035.4	-63602.4	1.74541	2014.06	137.613	0	12.4882	-0.0364677	-0.00160171	0.199096	0.266292	-0.0147555	0.424606	1.06581	1.4551	1.3623	1.50457	2.32484	2.53608	2.95232	2.31	1.54749	1.30586	0.20069	-0.734022	-0.709538	-0.842574	-0.986852	-1.21007	-1.16453	-1.15865	-1.11253	2	10.0623	0.310477	0.222117	0.196324	0.271081	0.325396	0.00108239	0.00108239	-63602.4	0.0	-3933.41	
36000000	2823	-82572.5	-19126.3	-63446.2	1.9233	2013.88	132.496	0	12.4882	-0.565201	-0.620705	-0.26479	0.143198	0.246635	0.294133	0.966971	1.27634	1.22288	1.67918	2.25887	2.50893	2.52851	2.41924	1.52156	1.24245	0.240534	-1.01135	-0.900964	-0.826331	-1.03079	-1.32671	-1.25207	-1.24656	-1.2036	2	10.2238	0.308676	0.219903	0.204053	0.267369	0.335942	0.00121314	0.00121314	-63446.2	0.0	-3822.66	
38000000	2822	-86640.8	-22841.1	-63799.7	1.86662	2013.94	135.26	0	12.4882	-0.851734	-0.621719	-0.417901	-0.102674	0.191435	0.0896019	0.927023	1.30696	1.41811	1.51454	2.22398	2.38551	2.50119	2.51845	1.53324	1.31704	0.0741564	-0.714826	-0.769819	-1.26345	-1.29042	-1.13025	-1.39152	-0.932171	-0.62892	2	10.29	0.306653	0.220681	0.205203	0.267463	0.383852	0.00116863	0.00116863	-63799.7	0.0	-3856.73	
40000000	2821	-88534.1	-24793	-63741.1	1.78292	2014.03	134.263	0	12.4882	-0.777728	-0.546551	-0.273014	-0.0828682	0.268768	0.699027	1.07779	1.27114	1.26484	1.62335	2.40566	2.41061	2.75618	2.43688	1.60205	1.13741	-0.041576	-0.987463	-1.27847	-1.16334	-1.3948	-1.93991	-1.98416	-2.25237	-2.3471	2	10.08	0.311918	0.221149	0.198902	0.26803	0.401851	0.00111602	0.00111602	-63741.1	0.0	-3853.76	
42000000	2819	-84796	-21205.8	-63590.2	1.77576	2014.03	135.177	0	12.4882	-0.765574	-0.898386	-0.0426589	0.00893162	0.132106	0.435053	0.926401	1.20358	1.35394	1.67156	2.46039	2.29563	2.77024	2.41089	1.59788	1.29727	0.127761	-0.777832	-1.24242	-1.13845	-1.26839	-1.50536	-1.63368	-1.78793	-1.73883	2	10.0231	0.310628	0.221134	0.200729	0.26751	0.350076	0.00113387	0.00113387	-63590.2	0.0	-3867.17	
44000000	2821	-87611.1	-23928.9	-63682.2	1.7781	2014.03	135.134	0	12.4882	-0.105212	-0.22327	-0.114287	0.301414	0.1778	0.415259	0.674549	1.02198	1.1829	1.62478	2.34842	2.3709	2.67431	2.55047	1.51004	1.33601	0.218223	-0.814706	-0.743693	-0.768383	-0.859308	-0.570552	-0.520672	-0.222642	-0.163588	2	10.5382	0.309578	0.220328	0.204785	0.265309	0.393746	0.00113043	0.00113043	-63682.2	0.0	-3871.52	
46000000	2824	-86955.5	-23257.6	-63697.9	1.73406	2014.08	134.727	0	12.4882	-0.615549	-0.237611	0.493414	0.486385	0.232184	0.398169	0.770469	1.48537	1.14701	1.57355	2.45341	2.36006	2.78796	2.40303	1.54191	1.13938	0.140633	-0.718573	-0.77781	-1.15757	-1.041	-0.96346	-0.889996	-0.685755	-0.398555	2	10.724	0.316348	0.218681	0.198796	0.266176	0.382924	0.00114242	0.00114242	-63697.9	0.0	-3872.93	
48000000	2817	-87695.7	-24023.7	-63672	1.78008	2014.03	134.793	0	12.4882	0.401358	-0.124025	-0.0455034	0.0101866	0.149934	0.271345	0.940739	1.38268	1.18563	1.69729	2.63775	2.53844	2.69111	2.37144	1.54516	1.34142	0.0804308	-0.916566	-0.880506	-0.478152	-0.422501	-0.63393	-0.828812	-0.909908	-0.744988	2	10.7867	0.310008	0.219996	0.198034	0.271962	0.398712	0.0011372	0.0011372	-63672	0.0	-3875.49	
50000000	2823	-88631.2	-24887.7	-63743.4	1.79765	2014.01	133.469	0	12.4882	-0.609965	-0.319228	-0.0525004	0.0945204	0.163409	0.282135	0.974611	1.3304	1.04223	1.60414	2.33749	2.48745	2.88144	2.4269	1.3553	1.12398	0.10594	-0.918901	-0.976401	-0.983258	-1.46846	-1.59515	-1.36748	-1.63704	-1.229	2	10.0272	0.312892	0.222739	0.199416	0.264952	0.410828	0.0011754	0.0011754	-63743.4	0.0	-3821.52	
52000000	2818	-85168.1	-21571.2	-63596.9	1.75802	2014.05	134.644	0	12.4882	-0.16277	0.289868	0.0418035	-0.0468345	0.222088	0.266586	0.891868	1.4107	1.42344	1.53691	2.25429	2.45357	2.79786	2.38763	1.47473	1.14603	0.229098	-1.12735	-1.05242	-1.56509	-1.82899	-2.16139	-1.89483	-1.65995	-1.93326	2	9.72933	0.3225	0.212709	0.198847	0.265944	0.353116	0.00111383	0.00111383	-63596.9	0.0	-3867.26	
54000000	2823	-81646.5	-18293.7	-63352.8	1.73349	2014.08	130.351	0	12.4882	-1.30781	-0.898682	-0.192306	-0.137123	0.265053	-0.0639499	0.744296	1.18011	1.25397	1.7222	2.56785	2.5257	2.7597	2.2489	1.41886	1.38724	-0.0166737	-1.00297	-1.02236	-0.954508	-1.50822	-1.79215	-1.82272	-1.97156	-2.58941	2	11.0098	0.314962	0.218307	0.200974	0.265756	0.322882	0.00119288	0.00119288	-63352.8	0.0	-3753.92	
56000000	2825	-88721	-25116.7	-63604.3	1.76266	2014.05	129.052	0	12.4882	-0.394613	-0.432377	0.0457958	0.253447	0.29858	0.241906	1.03729	1.23019	0.91224	1.6613	2.2522	2.33084	2.88174	2.2358	1.29886	1.34185	-0.226735	-1.07681	-0.968001	-1.41321	-1.6887	-1.7016	-1.54684	-1.7486	-1.98677	2	9.77316	0.314106	0.218671	0.198105	0.269118	0.422224	0.00121034	0.00121034	-63604.3	0.0	-3688.56	
58000000	2820	-85496.4	-21970.3	-63526.1	1.72568	2014.08	132.605	0	12.4882	-0.826376	-0.567467	-0.105066	0.146065	0.272564	0.52703	0.611295	1.04536	1.18067	1.82574	2.51965	2.53396	2.7145	2.5698	1.44583	1.28051	0.105621	-1.17813	-1.43783	-1.41793	-1.36124	-1.00722	-0.85054	-1.14719	-1.1205	2	9.43227	0.30728	0.223503	0.202121	0.267096	0.358993	0.00114468	0.00114468	-63526.1	0.0	-3815.7	
60000000	2815	-87595.3	-23917.1	-63678.2	1.80573	2014	132.827	0	12.4882	-0.506621	-0.278052	-0.00535916	-0.141314	0.164136	0.483369	0.719331	1.43566	1.26138	1.54396	2.29276	2.43199	2.84349	2.26278	1.58783	1.22246	0.00980557	-1.06805	-1.53189	-1.2273	-1.12155	-1.29615	-1.0458	-0.727005	-1.16373	2	10.446	0.307049	0.22169	0.202506	0.268755	0.397021	0.00115714	0.00115714	-63678.2	0.0	-3818.55	
62000000	2815	-89489.1	-25764.7	-63724.3	1.73433	2014.07	132.302	0	12.4882	-1.36907	-1.16671	-0.355087	-0.342344	0.167633	0.281949	0.858736	1.17436	1.42775	1.79354	2.17586	2.56174	2.84595	2.38826	1.48915	1.03145	0.228701	-1.21684	-1.17494	-1.41393	-1.64924	-1.23618	-1.15902	-1.01082	-1.20286	2	9.86784	0.311237	0.226496	0.200402	0.261865	0.425548	0.00113308	0.00113308	-63724.3	0.0	-3810.91	
64000000	2806	-86734.7	-23268.8	-63465.8	1.79061	2014.02	134.282	0	12.4882	-0.714381	-0.791663	-0.230931	-0.149081	0.294608	0.337765	0.73792	1.30456	1.28583	1.73775	2.15678	2.55258	2.6038	2.38362	1.49815	1.36546	0.0198501	-1.05321	-1.03234	-1.12689	-0.717543	-0.642323	-0.538894	-0.107956	-0.270497	2	10.8541	0.314313	0.22416	0.198429	0.263098	0.388048	0.00112568	0.00112568	-63465.8	0.0	-3851.68	
66000000	2808	-87026.5	-23522.1	-63504.4	1.76408	2014.05	132.161	0	12.4882	-0.580691	-0.555908	-0.16756	-0.0673901	0.00942548	0.228098	0.897197	1.24415	1.08128	1.45086	2.47431	2.34559	2.57063	2.47311	1.58091	1.10483	0.0174037	-1.14062	-0.596325	-0.660591	-0.656765	-1.02862	-0.858642	-0.792451	-0.8464	2	10.31	0.315835	0.217156	0.202848	0.264161	0.386581	0.00111871	0.00111871	-63504.4	0.0	-3797.86	
68000000	2811	-86402.9	-22874.2	-63528.7	1.76656	2014.04	135.557	0	12.4882	-0.154197	-0.278322	-0.190986	0.0680766	0.250397	0.160899	0.629848	1.1255	1.14285	1.79159	2.42011	2.47619	2.65208	2.58009	1.88238	1.13675	0.235761	-0.83044	-0.679564	-0.989947	-1.0944	-1.49139	-1.31446	-1.08794	-1.24258	2	11.1192	0.314589	0.215862	0.203523	0.266025	0.376303	0.00115362	0.00115362	-63528.7	0.0	-3894.28	
70000000	2806	-87585.6	-24112.3	-63473.3	1.97831	2013.83	131.225	0	12.4882	-1.28076	-0.916499	-0.442788	-0.199709	0.256746	0.232131	0.796152	1.31471	1.1023	1.30455	2.326	2.64021	2.70913	2.45881	1.44937	1.35444	-0.192429	-0.721109	-0.70315	-1.07647	-1.46591	-1.49051	-1.65851	-1.47438	-1.05852	2	10.6933	0.311416	0.219108	0.20203	0.267446	0.396245	0.00114578	0.00114578	-63473.3	0.0	-3737.01	
72000000	2808	-85023.9	-21653.8	-63370.1	1.79719	2014.01	132.523	0	12.4882	-0.965489	-0.51085	-0.40652	-0.0196813	0.182334	0.523128	0.85976	1.32301	1.05576	1.54938	2.28732	2.30457	2.99265	2.53829	1.5616	1.19284	-0.156817	-0.943616	-0.923571	-0.727312	-1.02905	-1.37214	-1.67781	-1.80576	-2.2819	2	10.2942	0.313694	0.216124	0.201013	0.26917	0.353993	0.00113485	0.00113485	-63370.1	0.0	-3796.12	
74000000	2808	-86835.7	-23480.6	-63355.1	1.78327	2014.03	127.709	0	12.4882	-1.15417	-0.90324	0.243391	-0.0235531	0.0770465	0.218974	0.648992	1.63746	0.988745	1.59373	2.20053	2.19306	2.51096	2.4115	1.32502	1.13391	0.00778766	-1.06416	-0.804189	-1.31996	-1.60853	-1.40198	-2.02212	-1.57297	-1.90202	2	10.3143	0.31048	0.221834	0.199707	0.267978	0.380162	0.00116572	0.00116572	-63355.1	0.0	-3690.6	
76000000	2806	-87376.1	-23915.4	-63460.7	1.85121	2013.96	128.156	0	12.4882	-0.229178	-0.304324	-0.275382	-0.152648	0.190094	0.469016	0.954656	1.29962	1.0312	1.55509	2.4178	2.47232	2.5467	2.19451	1.46041	1.18166	-0.0680475	-0.451865	-0.776868	-0.953802	-0.86616	-0.838188	-0.581127	-0.442151	-0.334954	2	10.6944	0.311746	0.217959	0.199141	0.271154	0.393878	0.0011979	0.0011979	-63460.7	0.0	-3698.17	
78000000	2808	-85410.5	-21995.9	-63414.6	1.74959	2014.06	131.241	0	12.4882	-0.715235	-0.931721	0.079402	0.109936	-0.0895415	0.571022	0.923474	1.30187	1.22297	1.45165	2.25864	2.44878	2.62726	2.2666	1.4224	1.10804	0.23747	-0.893807	-0.639437	-0.900231	-0.701376	-0.95838	-0.923687	-0.268165	-0.419896	2	11.1576	0.315077	0.2161	0.198143	0.270679	0.369461	0.00117212	0.00117212	-63414.6	0.0	-3802.44	
80000000	2802	-88158	-24702.5	-63455.6	1.74702	2014.06	130.503	0	12.4882	-0.612861	-0.473813	0.0287541	0.0208529	0.137527	0.367025	0.818309	1.57253	1.06707	1.51016	2.2213	2.27689	2.72449	2.46921	1.38413	1.26438	-0.219039	-0.471709	-0.686141	-1.15107	-0.999758	-0.713384	-0.405707	-0.660722	-0.558514	2	9.96825	0.314569	0.221018	0.200219	0.264193	0.416022	0.00119574	0.00119574	-63455.6	0.0	-3761.75	
82000000	2808	-85352.5	-21889.8	-63462.7	1.79344	2014.02	133.906	0	12.4882	-0.586454	-0.470155	-0.169995	0.394909	0.518231	0.490261	0.88381	1.15514	1.17232	1.50028	2.44256	2.60537	2.45671	2.68488	1.45535	1.24037	-0.15982	-0.873246	-0.707888	-0.664777	-0.759532	-1.10752	-1.08087	-1.39793	-1.42516	2	10.3326	0.313476	0.222343	0.197175	0.267006	0.366624	0.00112705	0.00112705	-63462.7	0.0	-3811.53	
84000000	2806	-86305.2	-22881.6	-63423.6	1.75098	2014.06	130.594	0	12.4882	-1.25441	-0.786147	-0.459671	-0.189139	-0.00712016	0.231491	0.688569	1.37721	1.29539	1.68357	2.26236	2.42346	2.60875	2.28226	1.45792	0.969985	-0.209873	-0.861618	-0.894576	-0.963337	-1.51013	-1.29345	-1.34582	-1.16551	-0.788694	2	10.3462	0.314133	0.222662	0.19888	0.264324	0.378266	0.00113594	0.00113594	-63423.6	0.0	-3759.87	
86000000	2805	-84459.2	-21223.7	-63235.5	1.83206	2013.98	129.451	0	12.4882	-0.0670474	-0.318497	-0.526409	-0.129094	0.0172148	0.469315	0.910812	1.07724	1.26739	1.63763	2.26565	2.35811	2.63084	2.27164	1.48984	0.860873	0.00457403	-0.925219	-0.789191	-1.21427	-1.169	-1.19546	-0.982752	-0.960487	-1.09132	2	10.1851	0.311399	0.218124	0.201562	0.268915	0.351504	0.00116264	0.00116264	-63235.5	0.0	-3744.3	
88000000	2805	-85794.4	-22393.1	-63401.3	1.76768	2014.04	130.243	0	12.4882	-0.205819	-0.411274	-0.438969	-0.596692	-0.0652373	0.467606	0.849967	1.32397	1.09685	1.51282	2.28036	2.43204	2.74921	2.53426	1.50954	0.943226	-0.109972	-0.699026	-0.835023	-1.04375	-1.319	-1.59269	-1.82869	-1.91455	-1.74198	2	9.49198	0.310171	0.221471	0.204027	0.264331	0.372486	0.00115584	0.00115584	-63401.3	0.0	-3737.48	
90000000	2804	-87614.2	-24232.6	-63381.6	1.86701	2013.94	127.396	0	12.4882	-1.04734	-0.758341	-0.319343	0.0751848	0.0044017	0.240876	0.53138	1.16056	1.07193	1.86766	2.34202	2.56297	2.76114	2.10288	1.41249	1.0992	-0.128197	-0.692887	-0.840641	-0.960718	-0.973919	-1.19091	-1.30778	-0.961199	-1.20389	2	10.9776	0.315363	0.216175	0.200152	0.26831	0.399204	0.00117944	0.00117944	-63381.6	0.0	-3683.53	
92000000	2804	-88178.2	-24753.6	-63424.6	1.77481	2014.04	127.282	0	12.4882	-1.06013	-0.807367	-0.602765	-0.0903898	0.30876	0.481197	0.740811	1.16181	1.17685	1.56002	1.91482	2.35112	2.47889	2.34193	1.40695	0.845591	-0.0137945	-0.558704	-0.629606	-0.986887	-0.947384	-1.07118	-1.08557	-1.09085	-1.20556	2	10.2433	0.313797	0.215555	0.205115	0.265533	0.421714	0.00119759	0.00119759	-63424.6	0.0	-3709.7	
94000000	2808	-86339.4	-22905.9	-63433.5	1.8464	2013.96	131.436	0	12.4882	-0.503547	-0.0145097	0.0362947	-0.123023	0.367929	0.475323	0.825147	1.40094	1.23671	1.40185	2.34253	2.32824	2.57929	2.26961	1.6469	1.09997	-0.0243328	-0.888346	-0.615442	-1.4326	-1.45965	-1.77799	-1.36575	-0.972057	-0.85821	2	9.74515	0.31887	0.217011	0.200519	0.263599	0.380288	0.00112221	0.00112221	-63433.5	0.0	-3811.59	
96000000	2807	-86023.2	-22535.1	-63488.2	1.7476	2014.06	133.979	0	12.4882	-0.252544	-0.421342	-0.530966	-0.0652933	0.344223	0.604453	1.14519	1.3455	1.06849	1.58166	2.15801	2.34912	2.67405	2.42421	1.604	1.14605	0.227366	-0.923473	-0.803227	-1.20468	-1.71465	-1.44159	-1.12264	-1.43942	-1.49038	2	9.97496	0.309967	0.224501	0.199179	0.266353	0.367984	0.00110164	0.00110164	-63488.2	0.0	-3867.1	
