# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/h5n1-andersen-e756a15-ALL_full_dates_only.fasta <DASH-DASH>v0-steps 20000000000 <DASH-DASH>v0-out-log-file delphy_outputs_a/h5n1-andersen-e756a15-ALL_full_dates_only_a.log <DASH-DASH>v0-log-every 2000000 <DASH-DASH>v0-out-trees-file delphy_outputs_a/h5n1-andersen-e756a15-ALL_full_dates_only_a.trees <DASH-DASH>v0-tree-every 20000000 <DASH-DASH>v0-out-delphy-file delphy_outputs_a/h5n1-andersen-e756a15-ALL_full_dates_only_a.dphy <DASH-DASH>v0-delphy-snapshot-every 20000000 <DASH-DASH>v0-target-coal-prior-cells 1000 <DASH-DASH>v0-pop-model skygrid <DASH-DASH>v0-skygrid-prior-double-half-time 0.25 <DASH-DASH>v0-skygrid-type staircase <DASH-DASH>v0-skygrid-disable-low-pop-barrier <DASH-DASH>v0-skygrid-num-parameters 23 <DASH-DASH>v0-skygrid-cutoff 1.833
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	skygrid.isloglinear	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood_really_logG	branchRates	skygrid	
20000000	4526	-99363.4	-21809.1	-77554.3	1.94188	2023.65	122.418	0	6.24524	-0.748179	-0.895364	-0.414138	-0.101614	-0.271707	0.131041	0.673568	0.908249	1.22756	1.07588	0.665965	-0.475444	0.290785	1.00315	0.758845	0.52927	0.772993	0.670023	0.051442	-0.327901	-0.606389	-0.453406	-1.12648	1.833	18.0626	0.324186	0.205186	0.250829	0.219799	0.00286533	0.00286533	-77554.3	0.0	-5042.82	
22000000	4507	-98920.5	-21707.8	-77212.7	1.68028	2023.91	119.598	0	6.24524	-0.932123	-0.786602	-0.47172	0.0423769	-0.203876	0.307015	0.838015	0.997552	1.21479	0.885067	0.581429	-0.646671	0.290681	0.690078	0.592144	0.420393	0.741433	0.824437	-0.106879	-0.554933	-0.580805	-0.652615	-0.202142	1.833	16.7094	0.329107	0.202571	0.249125	0.219197	0.00287917	0.00287917	-77212.7	0.0	-4941.74	
24000000	4492	-98350.3	-21499.4	-76850.9	1.63689	2023.96	114.949	0	6.24524	-0.802129	-0.993082	-0.510131	0.0520805	-0.290337	0.251075	0.733246	1.01327	1.24835	1.0076	0.504518	-0.72059	0.146879	0.603918	0.533246	0.412566	0.862972	0.453401	-0.473189	-0.963771	-0.241768	-0.556704	-0.17558	1.833	17.1211	0.324106	0.206927	0.244984	0.223984	0.00296767	0.00296767	-76850.9	0.0	-4733.24	
26000000	4482	-98309	-21553.8	-76755.2	1.63572	2023.96	115.561	0	6.24524	-1.03851	-0.888413	-0.400509	-0.0708871	-0.393786	0.173412	0.453158	0.987989	1.19949	1.0173	0.359997	-0.641212	0.297709	0.76581	0.517609	0.495081	0.757526	0.335427	-0.460114	-0.574048	-0.184287	-0.124091	0.305668	1.833	16.5831	0.324761	0.207965	0.246909	0.220365	0.00294103	0.00294103	-76755.2	0.0	-4787.75	
28000000	4465	-97887.4	-21411.5	-76475.8	1.67584	2023.92	113.716	0	6.24524	-1.20323	-1.06171	-0.380739	0.0282296	-0.570015	-0.166316	0.708352	1.06554	1.19379	1.0105	0.378932	-0.76677	0.220738	0.883935	0.705951	0.432711	0.430783	0.680049	-0.82368	-0.940725	-0.977479	-0.858033	-0.464346	1.833	17.1612	0.322445	0.205686	0.247354	0.224516	0.00298921	0.00298921	-76475.8	0.0	-4645.37	
30000000	4458	-97834.2	-21435	-76399.3	1.70516	2023.89	113.874	0	6.24524	-0.98283	-0.775867	-0.453953	0.0159186	-0.59695	0.173797	0.704101	1.08888	1.18781	0.922208	0.270306	-0.845771	0.573291	0.580519	0.603493	0.359222	0.59551	0.502058	-0.84239	-0.927929	-0.824071	-0.560934	-0.564276	1.833	16.2909	0.328994	0.199961	0.24939	0.221656	0.00302145	0.00302145	-76399.3	0.0	-4668.92	
32000000	4446	-97508.1	-21335.9	-76172.2	1.68153	2023.91	111.791	0	6.24524	-1.04279	-0.756969	-0.641392	0.0523732	-0.57045	-0.375437	0.650741	0.892404	1.13333	0.906504	0.236728	-0.937505	0.331414	0.658574	0.726608	0.371271	0.517465	0.371456	-1.38413	-1.65663	-2.35304	-2.46391	-1.96859	1.833	18.0937	0.326611	0.207179	0.244052	0.222158	0.00300419	0.00300419	-76172.2	0.0	-4569.62	
34000000	4431	-97256.9	-21301.7	-75955.3	1.63272	2023.96	110.848	0	6.24524	-1.01581	-0.801999	-0.345638	-0.169926	-0.410869	0.0947131	0.721895	0.999237	1.25845	0.762804	0.294154	-0.929236	0.333614	0.754636	0.606582	0.364048	0.393985	0.417805	-1.13913	-1.72344	-1.93361	-2.00575	-1.77496	1.833	16.4448	0.328918	0.206945	0.243198	0.220939	0.00304626	0.00304626	-75955.3	0.0	-4535.6	
36000000	4423	-96906.7	-21156	-75750.6	1.65532	2023.94	108.103	0	6.24524	-1.07777	-0.952613	-0.401034	0.0981028	-0.485402	-0.100544	0.483005	1.04403	1.08066	0.880069	0.350377	-0.873431	0.0181144	0.839209	0.456138	0.410354	0.139715	-0.0178881	-1.32626	-2.10678	-2.04307	-2.29828	-2.5515	1.833	17.6976	0.329141	0.201929	0.244454	0.224477	0.00306268	0.00306268	-75750.6	0.0	-4389.81	
38000000	4422	-96879.8	-21148.3	-75731.6	1.66693	2023.93	107.938	0	6.24524	-1.05868	-1.07809	-0.541544	-0.108673	-0.397494	-0.185465	0.639596	1.09113	1.16217	0.870081	0.344107	-0.640458	-0.0626151	0.707135	0.510554	0.280632	0.298673	-0.0298053	-1.1231	-1.25589	-2.31389	-2.6183	-2.92659	1.833	17.1843	0.325897	0.206006	0.243181	0.224917	0.00317391	0.00317391	-75731.6	0.0	-4382.1	
40000000	4422	-96861.5	-21126.4	-75735.1	1.66121	2023.93	108.033	0	6.24524	-0.973658	-1.10544	-0.501034	-0.0972112	-0.53526	0.015748	0.739617	0.928758	1.07039	0.867474	0.269008	-0.807071	0.453071	0.803817	0.577491	0.339628	0.379504	0.274325	-1.22261	-1.59647	-1.80674	-1.775	-1.86001	1.833	17.2254	0.325699	0.207043	0.24721	0.220048	0.00309644	0.00309644	-75735.1	0.0	-4360.26	
42000000	4418	-96901.2	-21175.9	-75725.3	1.71183	2023.88	108.931	0	6.24524	-1.10695	-1.24454	-0.195542	-0.11191	-0.591803	0.199733	0.407414	0.884147	1.04913	0.750149	0.453962	-0.738358	0.279074	0.643164	0.604719	0.391804	0.340751	-0.215452	-1.17714	-1.42922	-1.8746	-2.26632	-1.34857	1.833	16.1123	0.327386	0.206795	0.244572	0.221247	0.00313102	0.00313102	-75725.3	0.0	-4409.89	
44000000	4414	-96719.6	-21101.9	-75617.8	1.67895	2023.92	107.429	0	6.24524	-1.14219	-1.07868	-0.425582	-0.174603	-0.35381	-0.157552	0.628086	0.805604	1.18552	0.955169	0.147735	-0.843165	-0.0269935	0.837427	0.56357	0.386069	0.22308	-0.0608889	-1.60989	-1.63753	-1.65198	-1.81204	-1.95825	1.833	16.3917	0.329466	0.205943	0.247293	0.217297	0.003081	0.003081	-75617.8	0.0	-4335.82	
46000000	4413	-96781.1	-21144.3	-75636.7	1.64513	2023.95	108.191	0	6.24524	-0.93584	-1.04673	-0.478751	-0.196642	-0.416273	-0.304179	0.513709	0.781964	1.09772	0.77846	0.306637	-0.892972	0.190052	0.867346	0.532951	0.308282	0.223855	-0.0543338	-1.2898	-1.25772	-1.08979	-1.12662	-0.970279	1.833	17.4931	0.323203	0.204716	0.245564	0.226518	0.00313499	0.00313499	-75636.7	0.0	-4378.14	
48000000	4412	-96743.8	-21129.6	-75614.2	1.64262	2023.95	107.889	0	6.24524	-0.707638	-1.04147	-0.608072	-0.0523414	-0.486553	-0.0282585	0.606388	0.90437	1.01565	0.692334	0.176298	-0.881475	0.0871437	0.860799	0.474859	0.280282	0.347622	0.0173679	-0.911009	-0.968363	-0.827304	-1.29766	-1.65752	1.833	17.091	0.333696	0.204628	0.244288	0.217388	0.00313256	0.00313256	-75614.2	0.0	-4363.43	
50000000	4411	-96854.6	-21203.4	-75651.2	1.72661	2023.87	109.147	0	6.24524	-0.877469	-0.995912	-0.469139	-0.0895613	-0.462782	0.338874	0.536496	0.948054	1.10494	0.749371	0.26433	-0.773206	0.200171	0.833636	0.406593	0.276963	0.505492	0.149335	-0.52663	-0.969645	-1.23589	-1.27474	-0.906252	1.833	17.7071	0.326197	0.207869	0.245974	0.21996	0.00307294	0.00307294	-75651.2	0.0	-4437.2	
52000000	4411	-96720.7	-21119	-75601.7	1.66478	2023.93	107.926	0	6.24524	-0.958764	-0.933983	-0.489477	-0.245937	-0.590835	-0.0870373	0.349776	0.833327	1.08429	0.795036	0.427675	-0.86484	0.198245	0.587194	0.35155	0.463339	0.459529	0.122915	-0.603919	-0.799642	-0.421429	-0.383127	-0.733973	1.833	17.8018	0.327229	0.204844	0.242545	0.225382	0.00308272	0.00308272	-75601.7	0.0	-4352.73	
54000000	4409	-96639.8	-21090.9	-75548.9	1.64925	2023.95	107.205	0	6.24524	-1.027	-0.919462	-0.750521	0.0660028	-0.468741	-0.20756	0.497357	0.957644	1.06758	0.847422	0.242856	-0.837906	0.147276	0.818834	0.416929	0.358784	0.455805	-0.132622	-1.00568	-0.772575	-0.963275	-0.207161	-0.553961	1.833	17.2585	0.328023	0.204567	0.246495	0.220915	0.00315541	0.00315541	-75548.9	0.0	-4324.75	
56000000	4408	-96650.5	-21099.8	-75550.8	1.66918	2023.92	107.428	0	6.24524	-1.07807	-1.04542	-0.617378	-0.147691	-0.806581	0.127039	0.776637	1.0519	1.18095	0.829994	0.267985	-0.984472	0.00232853	0.837801	0.260236	0.49317	0.325187	-0.203472	-1.0741	-1.27358	-1.37703	-1.11689	-0.701598	1.833	18.755	0.325399	0.210448	0.24142	0.222733	0.00308825	0.00308825	-75550.8	0.0	-4333.43	
58000000	4408	-96569.3	-21068.8	-75500.5	1.59627	2024	106.274	0	6.24524	-1.09462	-0.833738	-0.594751	-0.274672	-0.367614	-0.0623249	0.750996	1.0841	1.07825	0.873986	0.11048	-0.833871	0.253569	0.555716	0.162041	0.546964	0.253246	-0.281372	-1.28761	-1.99771	-1.36439	-1.83334	-1.79601	1.833	17.9501	0.322996	0.208274	0.245179	0.22355	0.00311457	0.00311457	-75500.5	0.0	-4302.53	
60000000	4410	-96573.9	-21063	-75510.9	1.5915	2024	105.976	0	6.24524	-0.998101	-0.951975	-0.459221	-0.058488	-0.571722	-0.0849403	0.360642	0.961617	1.16351	0.907435	0.250267	-0.734737	-0.0407049	0.512787	0.195051	0.333368	0.318926	-0.417377	-1.6845	-1.63584	-1.73441	-2.14357	-1.47857	1.833	17.1508	0.323765	0.201437	0.249274	0.225524	0.00318277	0.00318277	-75510.9	0.0	-4296.81	
62000000	4410	-96499.1	-21013	-75486.1	1.56732	2024.02	105.364	0	6.24524	-1.12924	-0.968748	-0.441226	0.0285541	-0.530113	-0.106639	0.734842	1.14478	1.08291	0.80062	0.14116	-0.923136	-0.0317103	0.540876	0.31629	0.327594	0.557229	-0.810758	-1.59736	-1.82587	-1.71227	-1.96011	-1.79594	1.833	15.6307	0.327269	0.203998	0.24432	0.224414	0.00315119	0.00315119	-75486.1	0.0	-4247.09	
64000000	4407	-96526.5	-21055.2	-75471.3	1.62241	2023.97	105.875	0	6.24524	-0.977694	-0.84024	-0.342201	-0.0666812	-0.630051	0.138531	0.441692	0.863302	0.991499	0.95865	0.20326	-0.864972	0.175378	0.619854	0.425403	0.39948	0.510643	-0.426396	-0.991742	-0.861617	-0.0964509	0.621966	0.880948	1.833	17.6834	0.321667	0.20816	0.248777	0.221396	0.0031664	0.0031664	-75471.3	0.0	-4289	
66000000	4407	-96454.5	-21005.2	-75449.3	1.56274	2024.03	105.31	0	6.24524	-0.977332	-0.96076	-0.643213	-0.238221	-0.456603	-0.0638887	0.634514	1.13615	1.01542	0.812144	0.235504	-0.942335	0.202829	0.587825	0.440968	0.0932005	0.437425	-0.470138	-0.951261	-0.362507	-0.331412	-0.476592	-1.92378	1.833	15.6084	0.327008	0.20872	0.24303	0.221243	0.00321601	0.00321601	-75449.3	0.0	-4239.25	
68000000	4409	-96335.6	-20903.6	-75432	1.61243	2023.98	104.39	0	6.24524	-1.03232	-0.950663	-0.661298	-0.235075	-0.384609	-0.151561	0.727852	1.01131	0.926711	0.815562	0.151343	-1.17923	0.0825477	0.696869	0.593044	0.309407	0.278532	-0.405671	-1.44049	-1.64727	-1.53434	-1.85092	-2.23911	1.833	16.9333	0.326783	0.2062	0.246893	0.220124	0.00331658	0.00331658	-75432	0.0	-4137.5	
70000000	4404	-96367.3	-20963.1	-75404.2	1.64037	2023.95	105.103	0	6.24524	-1.08625	-1.1438	-0.620592	-0.0819044	-0.538055	-0.00558689	0.582783	1.04653	1.04796	0.882871	0.208981	-1.06683	0.144369	0.625927	0.323362	0.25698	0.250602	-0.5487	-1.70653	-1.21898	-0.868856	-0.972264	-1.22875	1.833	17.9431	0.326262	0.210029	0.240486	0.223223	0.00316542	0.00316542	-75404.2	0.0	-4196.8	
72000000	4403	-96177.9	-20870.8	-75307.1	1.56382	2024.03	103.117	0	6.24524	-1.20056	-1.07489	-0.684967	-0.151986	-0.434614	-0.208341	0.621959	0.808479	1.11364	0.746307	0.214031	-1.02439	0.230204	0.674551	0.392579	0.173629	0.206947	-0.677188	-1.41292	-0.6037	-1.03838	-1.13299	-0.281341	1.833	15.8022	0.328149	0.204799	0.244457	0.222594	0.0032358	0.0032358	-75307.1	0.0	-4104.83	
74000000	4398	-96193.2	-20927	-75266.2	1.55507	2024.04	103.468	0	6.24524	-1.11077	-0.827474	-0.706751	-0.0998694	-0.482278	-0.172813	0.696379	0.907803	1.01687	0.792764	0.177853	-0.957305	0.308498	0.672644	0.361172	0.479631	0.0494108	-0.695635	-2.60223	-2.58609	-2.17945	-1.86124	-1.63064	1.833	16.0174	0.329313	0.202628	0.241691	0.226368	0.00328892	0.00328892	-75266.2	0.0	-4160.98	
76000000	4397	-96191	-20923.5	-75267.5	1.58909	2024	103.828	0	6.24524	-0.940902	-0.991529	-0.657304	-0.195693	-0.573523	-0.21805	0.650675	0.635957	1.04373	0.841531	0.230082	-0.856499	0.213545	0.578451	0.453331	0.276572	0.210098	-0.702784	-1.02134	-0.962818	-0.989637	-1.02024	-0.787387	1.833	17.4601	0.323396	0.203125	0.247225	0.226254	0.00322545	0.00322545	-75267.5	0.0	-4157.28	
78000000	4397	-96189.2	-20918.5	-75270.7	1.64267	2023.95	103.826	0	6.24524	-0.827278	-0.899635	-0.682662	-0.278947	-0.448784	-0.0798242	0.624092	1.03712	0.933942	0.812349	0.073928	-0.8645	0.0810191	0.719111	0.380888	0.344664	0.147989	-0.724093	-1.70976	-1.76956	-1.7557	-1.84864	-2.19918	1.833	17.5996	0.325388	0.207648	0.240685	0.226279	0.00331935	0.00331935	-75270.7	0.0	-4152.29	
80000000	4393	-96177.1	-20922.8	-75254.3	1.60407	2023.99	104.529	0	6.24524	-0.950426	-1.0916	-0.570905	0.11437	-0.497768	0.0772905	0.700451	1.02198	0.939627	0.708316	0.132625	-0.949178	0.390043	0.624251	0.363925	0.469812	0.202749	-0.18505	-0.674564	-1.75899	-2.87112	-2.87959	-2.87402	1.833	17.6679	0.319338	0.207239	0.246376	0.227047	0.00318907	0.00318907	-75254.3	0.0	-4156.59	
82000000	4394	-96237.9	-20961.1	-75276.8	1.64682	2023.95	104.811	0	6.24524	-1.08547	-1.02387	-0.60531	-0.130799	-0.473514	0.0359868	0.578321	1.10484	1.0835	0.748859	0.212183	-1.08788	0.178037	0.784564	0.537484	0.512968	0.0475652	-0.541974	-1.87111	-2.28725	-2.12225	-1.1031	-1.06207	1.833	16.2419	0.328336	0.206512	0.244587	0.220565	0.00317175	0.00317175	-75276.8	0.0	-4195.03	
84000000	4389	-96257.8	-21014	-75243.8	1.59611	2024	105.34	0	6.24524	-0.980667	-1.09548	-0.785547	-0.137122	-0.302075	-0.137583	0.8086	1.06207	1.09515	0.774124	0.0396796	-0.88799	0.37083	0.803637	0.516748	0.424069	0.201288	-0.471926	-2.02876	-1.85523	-2.01183	-1.1525	-1.39267	1.833	17.1741	0.327459	0.204568	0.244587	0.223386	0.00324913	0.00324913	-75243.8	0.0	-4247.84	
86000000	4390	-96123.8	-20918.7	-75205.1	1.65157	2023.94	104.228	0	6.24524	-1.11646	-1.07685	-0.634193	-0.0225385	-0.459069	0.0894918	0.372171	0.905562	0.91684	0.715449	0.111387	-0.897461	0.309346	0.660426	0.39067	0.343309	0.115311	-0.231157	-1.10759	-1.45745	-2.16317	-2.01492	-1.94249	1.833	17.8082	0.324719	0.205935	0.24512	0.224226	0.00319351	0.00319351	-75205.1	0.0	-4152.48	
88000000	4391	-96168.1	-20939.3	-75228.8	1.55798	2024.04	104.396	0	6.24524	-1.10737	-1.15213	-0.557021	-0.0501128	-0.393986	-0.211157	0.734322	0.656067	0.954678	0.81495	0.207718	-0.707394	0.227036	0.876694	0.427585	0.237369	0.223223	-0.288764	-1.49369	-1.37631	-1.72302	-2.31818	-1.97663	1.833	15.5933	0.331665	0.20838	0.241757	0.218198	0.00327873	0.00327873	-75228.8	0.0	-4173.36	
90000000	4390	-96085.4	-20912.5	-75172.9	1.57641	2024.02	103.391	0	6.24524	-0.956819	-0.944725	-0.468266	0.025559	-0.248994	-0.000996838	0.452016	0.821983	0.980482	0.77252	0.129478	-0.821294	0.270439	0.800154	0.191207	0.165234	0.210538	-0.508751	-1.91709	-1.8821	-2.23903	-2.16224	-1.91828	1.833	16.1831	0.32633	0.204851	0.250253	0.218566	0.00327075	0.00327075	-75172.9	0.0	-4146.48	
92000000	4392	-95813.9	-20725	-75089	1.6133	2023.98	100.908	0	6.24524	-1.05775	-0.953268	-0.549385	-0.117626	-0.343962	-0.298097	0.388028	0.838182	0.838935	0.742476	0.00194875	-1.03041	0.318568	0.772473	0.220134	0.154955	0.111661	-0.470755	-1.77288	-2.09363	-2.04913	-2.00812	-1.86285	1.833	18.1867	0.323497	0.209028	0.242846	0.22463	0.00338767	0.00338767	-75089	0.0	-3958.67	
94000000	4389	-95977.3	-20842.4	-75135	1.61891	2023.98	102.861	0	6.24524	-1.00154	-1.06375	-0.58089	-0.141514	-0.577092	-0.162923	0.608256	1.04879	0.897655	0.642648	0.209193	-1.23218	0.242585	0.480512	0.366247	0.257679	0.0844239	-0.427166	-1.47442	-1.4841	-1.59796	-0.952353	-1.39617	1.833	17.5897	0.327623	0.207078	0.244133	0.221166	0.00329462	0.00329462	-75135	0.0	-4076.16	
96000000	4392	-96006.3	-20831.5	-75174.8	1.63192	2023.96	102.945	0	6.24524	-0.942362	-0.86254	-0.405637	-0.165443	-0.522475	0.105924	0.534048	0.764393	0.955532	0.810956	0.0432373	-1.05709	0.0527471	0.671953	0.540628	0.309768	0.252193	-0.503146	-1.45417	-1.9984	-1.94832	-1.66084	-1.43585	1.833	15.617	0.32757	0.207879	0.244131	0.220421	0.00326052	0.00326052	-75174.8	0.0	-4065.54	
98000000	4390	-95999.5	-20849.8	-75149.7	1.60464	2023.99	102.912	0	6.24524	-1.02739	-0.946701	-0.538318	-0.208702	-0.526278	-0.143759	0.694115	0.942714	0.952993	0.848935	0.0458686	-0.982354	0.10007	0.577705	0.445415	0.398511	0.028129	-0.413978	-0.795224	-1.88762	-1.67512	-1.31337	-1.15428	1.833	16.9673	0.328559	0.199456	0.249725	0.222259	0.00329777	0.00329777	-75149.7	0.0	-4083.65	
100000000	4389	-95997.9	-20849	-75148.8	1.63119	2023.96	103.111	0	6.24524	-1.0583	-1.02548	-0.666237	-0.236555	-0.528718	-0.092553	0.742607	0.984303	0.830106	0.753361	0.245993	-0.891713	0.0273889	0.516411	0.313442	0.32233	0.186829	-0.459122	-1.26849	-1.4697	-1.89001	-0.987519	-1.12485	1.833	16.7098	0.32371	0.208893	0.240108	0.227289	0.00330478	0.00330478	-75148.8	0.0	-4082.94	
102000000	4388	-96085.7	-20917.4	-75168.3	1.67887	2023.92	103.882	0	6.24524	-0.862842	-1.00785	-0.714666	-0.358152	-0.418184	-0.213512	0.666992	0.763177	0.98723	0.813395	0.290325	-0.97961	0.0347367	0.4862	0.517515	0.309928	0.140268	-0.32701	-1.14155	-1.96731	-2.41281	-2.95224	-2.89036	1.833	16.019	0.3282	0.202446	0.242872	0.226482	0.00316627	0.00316627	-75168.3	0.0	-4151.36	
