# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola.fasta <DASH-DASH>v0-steps 1000000000 <DASH-DASH>v0-out-log-file delphy_outputs_b/ebola_delphy.log <DASH-DASH>v0-log-every 50000 <DASH-DASH>v0-out-trees-file delphy_outputs_b/ebola_delphy.trees <DASH-DASH>v0-tree-every 500000 <DASH-DASH>v0-out-delphy-file delphy_outputs_b/ebola_delphy.dphy <DASH-DASH>v0-delphy-snapshot-every 1000000
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood_really_logG	branchRates	coalescent	
2700000	55	-22818.6	3879.3	-26697.9	0.316753	2014.14	1.49257	0.090547	2.75477	7.67536	0.317762	0.213672	0.201348	0.267218	0.00261062	0.00261062	-26697.9	0.0	119.36	
2750000	56	-22844.6	3869.61	-26714.2	0.372576	2014.09	1.62232	0.117632	2.14681	7.17213	0.314483	0.213202	0.201506	0.270809	0.00213239	0.00213239	-26714.2	0.0	109.8	
2800000	55	-22786	3898.38	-26684.4	0.276189	2014.18	1.19246	0.0671382	1.86304	7.7098	0.323084	0.213957	0.19451	0.26845	0.00199885	0.00199885	-26684.4	0.0	138.123	
2850000	55	-22797.1	3890.17	-26687.3	0.272215	2014.19	1.19376	0.102628	9.88842	15.0631	0.322577	0.219968	0.192302	0.265153	0.00264223	0.00264223	-26687.3	0.0	131.857	
2900000	55	-22808.6	3878.24	-26686.9	0.264716	2014.19	1.25777	0.0932859	3.52844	9.38889	0.3166	0.216879	0.199993	0.266527	0.0019457	0.0019457	-26686.9	0.0	118.708	
2950000	55	-22823	3869.6	-26692.6	0.29736	2014.16	1.42754	0.124832	4.62104	8.47517	0.319066	0.213627	0.199681	0.267625	0.00224611	0.00224611	-26692.6	0.0	110.208	
3000000	55	-22829.8	3866.24	-26696	0.276166	2014.18	1.4257	0.170524	8.79897	5.37252	0.313389	0.215941	0.203314	0.267356	0.00198008	0.00198008	-26696	0.0	106.576	
3050000	55	-22867.3	3838.31	-26705.6	0.31352	2014.15	1.74995	0.187074	5.68995	11.096	0.321941	0.212169	0.202184	0.263706	0.00172596	0.00172596	-26705.6	0.0	79.8466	
3100000	55	-22858	3847.03	-26705.1	0.364297	2014.1	1.77548	0.119729	2.08945	8.20612	0.318928	0.211573	0.200255	0.269244	0.00183715	0.00183715	-26705.1	0.0	87.4632	
3150000	55	-22856.9	3851.08	-26708	0.338924	2014.12	1.72135	0.133325	0.265871	5.1934	0.324783	0.208408	0.199294	0.267514	0.00131234	0.00131234	-26708	0.0	90.8496	
3200000	55	-22833.5	3864.93	-26698.4	0.351972	2014.11	1.5068	0.12125	0.814199	16.6899	0.316385	0.211732	0.200247	0.271636	0.00234084	0.00234084	-26698.4	0.0	106.703	
3250000	55	-22815.8	3873.7	-26689.5	0.286058	2014.17	1.35785	0.135261	7.95882	7.94494	0.318835	0.21417	0.198536	0.268459	0.00208932	0.00208932	-26689.5	0.0	114.393	
3300000	55	-22834.4	3864.26	-26698.7	0.292726	2014.17	1.49152	0.116396	5.64496	14.131	0.325688	0.216512	0.195908	0.261893	0.00184784	0.00184784	-26698.7	0.0	105.804	
3350000	55	-22851.5	3851.24	-26702.7	0.306643	2014.15	1.65469	0.150992	6.25899	7.40075	0.314245	0.21845	0.198573	0.268732	0.00205535	0.00205535	-26702.7	0.0	91.869	
3400000	55	-22834.5	3863.19	-26697.7	0.290779	2014.17	1.54635	0.10732	3.31796	6.56463	0.31684	0.215514	0.200535	0.26711	0.00182419	0.00182419	-26697.7	0.0	103.192	
3450000	56	-22834.4	3869.1	-26703.5	0.263937	2014.19	1.3932	0.149109	10.5137	8.11625	0.317954	0.215129	0.198396	0.268522	0.00207012	0.00207012	-26703.5	0.0	110.011	
3500000	55	-22812.7	3875.86	-26688.5	0.281132	2014.18	1.30889	0.117332	10.6875	12.7412	0.320975	0.213601	0.196563	0.26886	0.00190625	0.00190625	-26688.5	0.0	117.366	
3550000	55	-22821.1	3873.06	-26694.2	0.302421	2014.16	1.44818	0.108412	6.37922	7.10247	0.318218	0.211223	0.200147	0.270412	0.00221662	0.00221662	-26694.2	0.0	113.289	
3600000	55	-22799.8	3887.59	-26687.4	0.287544	2014.17	1.29495	0.105141	6.28362	10.6543	0.31726	0.216155	0.198591	0.267995	0.00244108	0.00244108	-26687.4	0.0	128.498	
3650000	55	-22789.3	3895.73	-26685	0.269022	2014.19	1.18896	0.10376	8.27075	10.8452	0.315251	0.210767	0.201633	0.272349	0.00205286	0.00205286	-26685	0.0	136.722	
3700000	55	-22814.6	3873.27	-26687.9	0.265813	2014.19	1.28552	0.120277	10.7427	6.8981	0.319553	0.210823	0.198253	0.271371	0.00199461	0.00199461	-26687.9	0.0	113.704	
3750000	55	-22836.7	3864.69	-26701.4	0.315218	2014.14	1.55611	0.137247	4.16461	5.8257	0.316535	0.214423	0.196522	0.272519	0.00251792	0.00251792	-26701.4	0.0	104.779	
3800000	55	-22830.3	3865.43	-26695.7	0.274313	2014.18	1.47809	0.140844	7.49973	7.70834	0.321251	0.21602	0.198297	0.264432	0.0022505	0.0022505	-26695.7	0.0	106.097	
3850000	55	-22818.5	3871.3	-26689.8	0.263913	2014.19	1.30907	0.160188	9.29049	8.49401	0.321215	0.211517	0.19556	0.271708	0.00274673	0.00274673	-26689.8	0.0	112.321	
3900000	55	-22839.7	3860.27	-26700	0.294244	2014.16	1.54104	0.120547	6.32619	7.75673	0.315602	0.22023	0.193749	0.270419	0.00164833	0.00164833	-26700	0.0	100.748	
3950000	55	-22807	3880.47	-26687.5	0.286734	2014.17	1.29064	0.149142	9.15608	10.2801	0.31745	0.216355	0.195361	0.270835	0.00218782	0.00218782	-26687.5	0.0	121.755	
4000000	55	-22800.1	3890.78	-26690.9	0.282131	2014.18	1.25743	0.0951242	2.25998	13.5102	0.322475	0.211131	0.195931	0.270463	0.00151793	0.00151793	-26690.9	0.0	131.915	
4050000	55	-22767.7	3914.02	-26681.7	0.306688	2014.15	1.13907	0.0662655	1.88554	6.72122	0.321564	0.213661	0.197969	0.266806	0.0031369	0.0031369	-26681.7	0.0	153.528	
4100000	55	-22795.3	3890.62	-26685.9	0.273289	2014.19	1.23332	0.110563	9.53857	5.74633	0.322442	0.210925	0.198194	0.268439	0.00230659	0.00230659	-26685.9	0.0	130.65	
4150000	55	-22768.3	3912.08	-26680.4	0.275731	2014.18	1.11889	0.0568487	-0.317924	7.41722	0.322657	0.215176	0.193546	0.268621	0.00273271	0.00273271	-26680.4	0.0	151.537	
4200000	55	-22768	3914.75	-26682.8	0.293723	2014.16	1.14313	0.0530005	-1.29841	13.5162	0.3161	0.212006	0.196165	0.275729	0.00253744	0.00253744	-26682.8	0.0	155.268	
4250000	55	-22783	3902.64	-26685.6	0.27993	2014.18	1.13733	0.0743827	7.21135	10.9945	0.319753	0.208365	0.201068	0.270813	0.00364266	0.00364266	-26685.6	0.0	143.285	
4300000	55	-22789	3897.86	-26686.8	0.291987	2014.17	1.1924	0.0799759	3.24026	7.66423	0.316308	0.210719	0.197398	0.275575	0.00316535	0.00316535	-26686.8	0.0	137.813	
4350000	55	-22777.4	3903.85	-26681.2	0.282314	2014.18	1.12018	0.0394501	-1.24557	10.2026	0.322153	0.212387	0.201909	0.263552	0.00288939	0.00288939	-26681.2	0.0	143.533	
4400000	55	-22764.6	3914.44	-26679.1	0.266308	2014.19	1.0994	0.0557058	3.87934	10.3962	0.317569	0.21647	0.200913	0.265048	0.00263343	0.00263343	-26679.1	0.0	154.59	
4450000	55	-22779.6	3905.78	-26685.4	0.294756	2014.16	1.19502	0.06615	0.403872	8.9916	0.320371	0.217456	0.199046	0.263127	0.00302203	0.00302203	-26685.4	0.0	145.719	
4500000	55	-22798.1	3888.12	-26686.2	0.291003	2014.17	1.26135	0.109476	7.46411	13.8461	0.319774	0.21332	0.198568	0.268337	0.00254217	0.00254217	-26686.2	0.0	129.613	
4550000	55	-22808	3884.84	-26692.9	0.291852	2014.17	1.35629	0.0931675	5.54773	7.91408	0.312989	0.22125	0.19771	0.268051	0.00216413	0.00216413	-26692.9	0.0	125.071	
