# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola_dudas.fasta <DASH-DASH>v0-steps 10000000000 <DASH-DASH>v0-out-log-file delphy_outputs_b/ebola_dudas_delphy.log <DASH-DASH>v0-log-every 2000000 <DASH-DASH>v0-out-trees-file delphy_outputs_b/ebola_dudas_delphy.trees <DASH-DASH>v0-tree-every 10000000 <DASH-DASH>v0-out-delphy-file delphy_outputs_b/ebola_dudas_delphy.dphy <DASH-DASH>v0-delphy-snapshot-every 10000000 <DASH-DASH>v0-pop-model skygrid <DASH-DASH>v0-skygrid-type staircase <DASH-DASH>v0-skygrid-prior-double-half-time 0.5 <DASH-DASH>v0-skygrid-disable-low-pop-barrier <DASH-DASH>v0-skygrid-num-parameters 25 <DASH-DASH>v0-skygrid-cutoff 2
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	skygrid.isloglinear	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood_really_logG	branchRates	skygrid	
20000000	2821	-75405.9	-9129.65	-66276.2	1.76144	2014.05	135.999	0	12.4882	-0.174259	-0.6257	-0.151357	0.151047	0.12657	0.106326	0.924226	1.32905	1.31997	1.48811	2.32281	2.31477	2.90597	2.49894	1.57226	1.08765	0.0452764	-0.560055	-0.598784	-0.682479	-1.09984	-1.46421	-1.80782	-1.79594	-1.92849	2	10.3588	0.312677	0.221228	0.200671	0.265424	0.00111613	0.00111613	-66276.2	0.0	-3878.21	
22000000	2815	-75452.8	-9191.99	-66260.8	1.81044	2014	138.849	0	12.4882	-0.640425	-0.759094	-0.587983	-0.0718981	0.455901	0.269788	0.879489	1.45251	1.15676	1.58646	2.39378	2.5541	2.78752	2.47449	1.59388	1.03613	0.184357	-0.480811	-0.653408	-0.6426	-0.975823	-1.27129	-1.36044	-1.88984	-2.44968	2	9.91002	0.308347	0.223187	0.202044	0.266422	0.00110843	0.00110843	-66260.8	0.0	-3940.63	
24000000	2812	-75295.5	-9132.47	-66163.1	1.83902	2013.97	135.862	0	12.4882	-1.11474	-0.652955	-0.571287	-0.284459	0.0221115	0.328859	1.0795	1.45917	1.29953	1.70676	2.42514	2.46942	2.91139	2.28077	1.51346	1.29777	0.204705	-0.742349	-0.484693	-0.414641	-0.677101	-1.72739	-1.57971	-1.75402	-1.80787	2	9.65878	0.308675	0.218448	0.201764	0.271114	0.00110748	0.00110748	-66163.1	0.0	-3881.16	
26000000	2811	-75182.1	-9081.83	-66100.3	1.78673	2014.02	133.656	0	12.4882	-1.01784	-0.511314	-0.387566	-0.200028	0.278277	0.300262	0.974007	1.18431	1.27956	1.70822	2.11601	2.24551	2.63831	2.44647	1.32772	1.00244	0.0200798	-0.647935	-0.896395	-1.16709	-1.37116	-1.83075	-2.09341	-1.83706	-2.14123	2	9.86888	0.309787	0.221114	0.203652	0.265446	0.00113684	0.00113684	-66100.3	0.0	-3830.48	
28000000	2812	-75236.1	-9076.51	-66159.6	1.80157	2014.01	135.761	0	12.4882	-0.793169	-0.749174	-0.205728	0.201634	-0.00343267	0.310507	0.786514	1.23925	1.33967	1.4439	2.27582	2.38046	2.82495	2.72275	1.4592	1.10913	-0.231208	-0.657187	-0.629828	-0.831521	-1.13692	-1.40726	-1.57894	-1.48737	-1.77093	2	10.6475	0.305817	0.224816	0.202221	0.267146	0.00108971	0.00108971	-66159.6	0.0	-3825.02	
30000000	2809	-75019.4	-8999.94	-66019.4	1.72372	2014.08	130.974	0	12.4882	-1.32875	-0.788262	-0.211357	-0.112081	-0.0906331	0.458558	0.897417	1.25881	1.01981	1.53588	2.24538	2.45145	2.70035	2.47148	1.61448	1.17828	-0.227095	-1.02925	-1.06404	-1.23957	-1.75286	-1.63633	-1.45239	-1.57945	-1.44299	2	10.647	0.309056	0.223676	0.202019	0.265249	0.00116033	0.00116033	-66019.4	0.0	-3748.45	
32000000	2807	-75108	-9070.17	-66037.8	1.83967	2013.97	133.043	0	12.4882	-0.276772	-0.370011	-0.255773	0.00664369	0.297363	0.0916044	1.03894	1.51523	1.17236	1.28674	2.19824	2.62222	2.67411	2.36492	1.53265	1.01242	-0.209829	-0.669697	-0.373079	-0.924777	-0.977825	-1.2395	-1.47679	-1.61657	-1.83478	2	10.8096	0.306974	0.22342	0.20201	0.267595	0.00112992	0.00112992	-66037.8	0.0	-3818.65	
34000000	2807	-75050.8	-9032.33	-66018.4	1.78237	2014.03	132.194	0	12.4882	0.0163166	0.0340098	0.222843	0.0280009	0.266699	0.466609	0.782321	1.31818	1.17812	1.58677	2.43036	2.66068	2.90593	2.35039	1.29371	1.06653	0.214452	-0.894168	-0.873416	-0.744393	-0.966036	-1.24951	-1.20928	-0.988385	-0.986462	2	9.85826	0.308537	0.219918	0.203829	0.267716	0.00111356	0.00111356	-66018.4	0.0	-3780.98	
36000000	2808	-75179.3	-9095.68	-66083.6	1.80936	2014	134.514	0	12.4882	-0.534279	-0.311986	-0.672403	-0.0941433	0.21938	0.579272	0.676308	1.22626	1.1337	1.5677	2.43588	2.36233	2.92962	2.2505	1.46813	0.961046	0.0805358	-0.683527	-0.682164	-0.805447	-0.937421	-0.970076	-0.233978	-0.111481	-0.00872427	2	10.682	0.314028	0.21789	0.197043	0.271039	0.00109325	0.00109325	-66083.6	0.0	-3844.19	
38000000	2806	-75223.5	-9122.5	-66101	1.90111	2013.91	136.523	0	12.4882	-0.800228	-0.604219	-0.292902	-0.106952	0.214112	0.47232	0.728853	1.27771	1.27961	1.80166	2.13454	2.53398	2.85836	2.42192	1.43033	1.22703	-0.0814677	-0.683596	-0.760475	-0.677952	-1.15036	-1.17131	-1.11034	-0.868035	-0.874032	2	10.6393	0.305831	0.216229	0.204511	0.273429	0.00109268	0.00109268	-66101	0.0	-3871.01	
40000000	2808	-75217.2	-9115.24	-66102	1.77966	2014.03	135.75	0	12.4882	-0.415938	-0.412263	-0.626851	-0.134817	0.187004	0.346903	0.939382	1.2004	1.39343	1.57928	2.41495	2.6034	2.74292	2.41429	1.56373	1.39675	-0.0622061	-0.887295	-0.889454	-0.847943	-0.784504	-0.877246	-0.586791	-1.18102	-1.20379	2	9.61035	0.308109	0.22409	0.205425	0.262376	0.0011302	0.0011302	-66102	0.0	-3863.93	
42000000	2807	-75211.3	-9110.02	-66101.3	1.78304	2014.03	136.456	0	12.4882	-0.337224	-0.284887	-0.177189	0.141469	-0.0335174	0.651218	0.806363	1.44795	1.32701	1.51338	2.17818	2.43261	2.64363	2.60513	1.53702	1.28271	-0.145736	-1.11217	-1.06712	-1.03388	-1.20079	-1.1704	-0.87717	-0.468852	-0.116307	2	10.614	0.311919	0.217354	0.201015	0.269711	0.00112014	0.00112014	-66101.3	0.0	-3858.54	
44000000	2802	-75110.3	-9097.01	-66013.3	1.79293	2014.02	135.065	0	12.4882	0.0431156	-0.0369899	-0.0647903	0.125967	0.223127	0.32098	0.957312	1.12713	1.08746	1.72132	2.27752	2.50746	2.75512	2.6168	1.61963	1.08884	0.173561	-0.89635	-0.912669	-0.523195	-1.06759	-1.32899	-1.30097	-0.658783	-0.688116	2	10.0966	0.307659	0.222438	0.208278	0.261626	0.00107642	0.00107642	-66013.3	0.0	-3845.62	
46000000	2806	-75184.9	-9106.03	-66078.8	1.76817	2014.04	135.841	0	12.4882	-0.224968	0.0790168	0.0407503	0.293067	0.408463	0.509084	0.867168	1.3422	1.19751	1.75994	2.29304	2.58468	2.8465	2.49053	1.14387	1.30291	0.101653	-0.892216	-1.08902	-0.800485	-0.711525	-0.758704	-0.783695	-1.03999	-1.70837	2	9.87486	0.314734	0.21657	0.205544	0.263152	0.00113358	0.00113358	-66078.8	0.0	-3854.68	
48000000	2805	-75175	-9107.85	-66067.1	1.7951	2014.01	135.895	0	12.4882	-0.512652	-0.518674	-0.613049	-0.0193538	0.27106	0.206162	0.734383	1.50032	1.35471	1.77136	2.28944	2.441	2.98572	2.49232	1.35622	1.39592	-0.0187637	-0.73946	-0.760382	-0.615523	-0.593287	-0.88178	-0.971563	-0.723407	-0.809477	2	10.6335	0.309995	0.219171	0.202835	0.267999	0.00111969	0.00111969	-66067.1	0.0	-3856.36	
50000000	2806	-75223.3	-9126.62	-66096.7	1.80465	2014.01	136.746	0	12.4882	-0.748671	-0.599027	-0.352421	0.0123832	0.118625	0.415873	0.732434	1.47522	1.07562	1.60098	2.47963	2.64667	2.55897	2.37594	1.44379	0.983569	0.136157	-0.816583	-0.883124	-0.523964	-0.961707	-1.014	-0.79764	-1.35969	-1.16761	2	10.2997	0.306402	0.216833	0.208916	0.267849	0.00108204	0.00108204	-66096.7	0.0	-3875.19	
52000000	2805	-75250.5	-9159.69	-66090.8	1.84788	2013.96	137.243	0	12.4882	-0.567444	-0.442686	-0.412823	0.327593	0.509984	0.340527	0.76121	1.32558	1.16349	1.41375	2.45589	2.47524	2.89967	2.55525	1.43724	1.32492	0.115245	-0.849146	-0.654016	-1.10689	-1.18323	-1.52971	-1.56386	-1.06864	-0.653685	2	9.71652	0.310597	0.216854	0.201235	0.271313	0.00107915	0.00107915	-66090.8	0.0	-3908.36	
54000000	2805	-75225.3	-9143.58	-66081.7	1.81336	2014	136.757	0	12.4882	-0.426449	-0.151362	-0.188679	0.0272512	0.311149	0.38155	0.879225	1.4175	1.31257	1.43551	2.33626	2.7167	3.01311	2.4751	1.30701	1.16994	0.29657	-0.767518	-0.763277	-1.03259	-0.872884	-1.31051	-1.32514	-1.50415	-1.60506	2	10.356	0.312828	0.224475	0.199472	0.263226	0.00107525	0.00107525	-66081.7	0.0	-3892.14	
56000000	2802	-75128.3	-9118.24	-66010	1.79172	2014.02	135.27	0	12.4882	0.117328	0.369609	0.386187	0.448481	0.0818563	0.158546	0.971667	1.36019	1.16569	1.71955	2.23706	2.55699	2.69776	2.40835	1.56218	1.45003	0.0473562	-0.819494	-0.759914	-0.770775	-1.21566	-1.4948	-1.08128	-0.946078	-1.0547	2	10.08	0.313998	0.220104	0.203674	0.262225	0.00108682	0.00108682	-66010	0.0	-3866.85	
58000000	2803	-75011.8	-9051.19	-65960.6	1.82596	2013.98	132.228	0	12.4882	-0.373592	-0.412268	-0.40035	0.114347	0.102855	0.468884	0.957637	1.25944	1.15424	1.67111	2.3837	2.55533	2.67267	2.33712	1.63726	1.08849	0.0955133	-0.990225	-1.14042	-0.881198	-0.806362	-1.37734	-1.82399	-1.84442	-2.04758	2	9.90847	0.309837	0.221949	0.200404	0.26781	0.00113816	0.00113816	-65960.6	0.0	-3799.84	
60000000	2802	-75176	-9138.9	-66037.1	1.82609	2013.98	136.415	0	12.4882	-0.752316	-0.707555	-0.0690974	0.0010087	0.136181	0.547097	0.685515	1.41176	1.147	1.77268	2.74434	2.5221	2.929	2.52305	1.48077	1.16942	0.434203	-0.705716	-0.620582	-0.974734	-1.50944	-1.50137	-1.60116	-1.34475	-0.742258	2	9.7352	0.310053	0.221899	0.204653	0.263395	0.00110163	0.00110163	-66037.1	0.0	-3887.58	
62000000	2803	-75076.7	-9078.99	-65997.7	1.74254	2014.07	133.792	0	12.4882	-0.406023	-0.343453	-0.0996175	-0.160207	0.0579013	0.641575	0.711825	1.38885	1.08555	1.67605	2.27654	2.59588	2.64817	2.58362	1.41896	0.734256	0.091797	-0.626089	-0.70884	-1.16522	-1.69661	-1.3536	-0.856844	-0.923249	-0.799048	2	10.3916	0.310426	0.217551	0.206856	0.265167	0.00114333	0.00114333	-65997.7	0.0	-3827.54	
64000000	2802	-75094.8	-9094.42	-66000.4	1.79815	2014.01	134.707	0	12.4882	-0.712055	-0.514503	-0.037918	0.14273	0.316445	0.0875263	0.706607	1.38888	1.17948	1.69599	2.51204	2.4165	2.866	2.5527	1.41472	0.847882	0.106582	-0.880008	-0.841008	-1.15361	-1.27689	-1.46712	-1.41571	-1.70791	-1.77354	2	9.45962	0.31558	0.218917	0.203724	0.26178	0.00111083	0.00111083	-66000.4	0.0	-3843.15	
66000000	2805	-75130	-9085.62	-66044.4	1.85611	2013.95	134.771	0	12.4882	-0.0956551	-0.448172	-0.197314	-0.337725	0.0190032	0.190127	0.921877	1.46416	1.1165	1.6005	2.3676	2.39187	2.67772	2.57379	1.32111	1.14717	-0.135428	-1.18393	-1.11417	-0.774387	-1.60877	-1.78457	-1.94447	-2.22839	-1.95192	2	10.3987	0.304437	0.224297	0.207818	0.263448	0.00114884	0.00114884	-66044.4	0.0	-3834.18	
68000000	2803	-75215.2	-9137.83	-66077.4	1.82178	2013.99	137.81	0	12.4882	-0.141221	0.170603	0.469104	0.119372	0.239458	0.134469	0.979242	1.27747	1.39784	1.53069	2.29866	2.5834	3.08651	2.60431	1.54047	1.24954	0.128591	-1.02497	-0.887578	-0.896579	-0.867856	-1.44289	-1.02045	-1.24589	-1.42079	2	10.9228	0.317121	0.218539	0.201769	0.262571	0.00110533	0.00110533	-66077.4	0.0	-3886.3	
70000000	2798	-75136	-9146.56	-65989.4	1.83342	2013.98	136.803	0	12.4882	-0.445769	-0.228751	-0.110932	0.193837	0.193732	0.287209	0.613883	1.26537	1.23929	1.51708	2.30748	2.41649	2.87653	2.49721	1.58342	1.1658	-0.139163	-0.738987	-0.876045	-0.844747	-0.748997	-0.984167	-0.777421	-0.795766	-0.635477	2	10.1148	0.309673	0.221105	0.202515	0.266706	0.0011124	0.0011124	-65989.4	0.0	-3895.16	
72000000	2797	-75226.5	-9173.63	-66052.8	1.88425	2013.93	140.291	0	12.4882	-0.370176	0.0543928	0.0346167	0.14168	-0.0532589	0.18839	0.801215	1.37572	1.23471	1.69216	2.25562	2.59714	2.98659	2.5329	1.57612	1.45227	-0.218928	-0.405172	-0.40763	-0.405299	-0.756287	-0.908504	-1.2118	-1.0035	-0.690307	2	11.28	0.315574	0.218796	0.202186	0.263444	0.00102857	0.00102857	-66052.8	0.0	-3922.03	
74000000	2797	-75123.3	-9112.08	-66011.2	1.89226	2013.92	138.498	0	12.4882	-0.483116	-0.425069	-0.0574639	-0.0708853	0.134596	0.356574	0.806644	1.37324	1.31939	1.58595	2.53711	2.62175	3.03396	2.66064	1.47695	1.29848	-0.0954533	-0.806776	-0.569715	-0.731959	-0.704734	-0.942944	-0.943057	-0.702982	-0.349465	2	10.9267	0.305342	0.222998	0.206139	0.265521	0.00108374	0.00108374	-66011.2	0.0	-3860.54	
76000000	2797	-75155.3	-9158.32	-65997	2.00032	2013.81	137.485	0	12.4882	-1.34861	-1.12399	-0.31077	0.223496	-0.0831115	0.183806	0.519552	1.11479	1.21946	1.71434	2.48329	2.54278	2.89112	2.56099	1.82981	1.1764	-0.134113	-0.629573	-0.849141	-0.447624	-1.32239	-1.42304	-0.695781	-0.462257	-0.0181791	2	10.8049	0.314612	0.216421	0.202263	0.266704	0.00110347	0.00110347	-65997	0.0	-3906.81	
78000000	2797	-75100.7	-9122.74	-65978	1.88317	2013.93	136.869	0	12.4882	-1.3344	-1.29299	-0.464161	-0.14023	-0.0342488	0.29676	0.601465	1.21282	1.24017	1.33337	2.24669	2.59778	2.68099	2.64482	1.67426	1.51298	-0.231071	-0.78798	-0.552773	-0.55658	-1.12137	-1.34138	-1.20589	-1.05867	-1.20226	2	9.96043	0.314493	0.220458	0.200223	0.264826	0.00108747	0.00108747	-65978	0.0	-3871.37	
80000000	2799	-75162.1	-9150.39	-66011.7	1.78551	2014.02	137.177	0	12.4882	-0.722958	-0.759168	-0.293209	0.0803649	0.183458	0.63345	0.776321	1.42877	1.24884	1.58912	2.35766	2.45345	2.81204	2.67651	1.65575	1.12393	0.0820424	-1.07908	-0.996656	-0.715016	-1.22743	-1.595	-1.79371	-1.4841	-1.68636	2	9.68993	0.307434	0.221065	0.202764	0.268737	0.00106479	0.00106479	-66011.7	0.0	-3899.07	
82000000	2801	-75121.1	-9105.74	-66015.3	1.81812	2013.99	136.141	0	12.4882	-0.472296	-0.276189	0.181784	0.198138	0.0936389	0.550792	0.626043	1.43539	1.33463	1.61737	2.49044	2.44531	2.72542	2.43768	1.46311	1.46661	-0.0616024	-0.796686	-1.22888	-0.806784	-0.898588	-0.75908	-0.992889	-1.00508	-0.580226	2	9.85007	0.311156	0.221892	0.200779	0.266173	0.0010861	0.0010861	-66015.3	0.0	-3854.4	
84000000	2798	-75117.8	-9130.34	-65987.5	1.77706	2014.03	136.615	0	12.4882	-0.783037	-0.674444	-0.441907	-0.24867	0.225883	0.216725	0.729012	1.34228	1.23448	1.79717	2.22894	2.77014	2.9035	2.78734	1.58687	1.46742	-0.0529803	-0.82156	-1.05484	-1.27116	-1.75536	-1.19612	-1.54939	-1.45017	-1.22664	2	10.8235	0.306925	0.222183	0.208518	0.262373	0.00110809	0.00110809	-65987.5	0.0	-3878.82	
86000000	2797	-75019.3	-9087.23	-65932	1.74863	2014.06	134.59	0	12.4882	-0.242183	-0.334379	-0.371329	0.186323	0.226161	0.342453	0.965328	1.23741	1.4575	1.47958	2.56958	2.51525	2.90898	2.34052	1.45243	1.21626	-0.302602	-0.684157	-0.577053	-0.789765	-1.16611	-1.07271	-1.08548	-1.42401	-1.42206	2	10.0671	0.313379	0.22089	0.203444	0.262287	0.00111439	0.00111439	-65932	0.0	-3835.85	
88000000	2798	-75052.7	-9106.38	-65946.3	1.85643	2013.95	134.756	0	12.4882	-0.777815	-0.356241	-0.289737	-0.0371274	0.0974084	0.508947	0.530473	1.30677	1.26299	1.60328	2.4324	2.54847	2.65532	2.59463	1.51425	1.10257	-0.117931	-0.696165	-0.823019	-1.19784	-1.14821	-1.0916	-0.945665	-0.810262	-1.27735	2	10.9389	0.312757	0.223394	0.202341	0.261508	0.00110483	0.00110483	-65946.3	0.0	-3854.84	
90000000	2800	-75021	-9066.59	-65954.4	1.80457	2014.01	133.791	0	12.4882	-1.31124	-1.01646	-0.28445	0.118578	0.0648139	0.209707	0.636713	1.28815	1.37215	1.35766	2.32431	2.54413	2.71499	2.56107	1.7483	1.02035	-0.347737	-0.787673	-0.641664	-0.252231	-0.813761	-1.23783	-1.46873	-1.25073	-1.37902	2	10.0425	0.308907	0.220767	0.20359	0.266736	0.0011064	0.0011064	-65954.4	0.0	-3815.21	
92000000	2797	-75024.1	-9083.85	-65940.2	1.81382	2013.99	135.034	0	12.4882	-0.715012	-0.84694	-0.178358	-0.0989192	-0.0374574	0.628343	0.95906	1.37177	1.22948	1.5333	2.24634	2.64986	2.83707	2.47916	1.69492	0.86071	-0.120677	-0.611556	-0.640097	-0.943411	-1.29317	-1.35678	-1.45304	-1.24971	-1.2785	2	10.7089	0.309996	0.225414	0.20289	0.261701	0.00108473	0.00108473	-65940.2	0.0	-3832.35	
94000000	2799	-74956.2	-9027.91	-65928.3	1.72612	2014.08	133.049	0	12.4882	-0.0383876	-0.459956	-0.474474	-0.135059	0.239448	0.0621887	0.692545	1.22338	0.918782	1.55133	2.17511	2.37414	2.99851	2.56336	1.60621	0.924163	-0.2964	-1.12972	-0.743997	-1.10946	-1.78105	-2.10626	-2.07288	-1.90464	-1.92861	2	10.2599	0.308292	0.215949	0.202034	0.273725	0.00112218	0.00112218	-65928.3	0.0	-3776.49	
96000000	2798	-74935	-9029.2	-65905.8	1.78159	2014.03	132.461	0	12.4882	-0.59823	-0.353188	-0.00337088	-0.286347	0.145315	0.358168	0.783773	1.70265	1.36458	1.49488	2.44997	2.47158	2.96588	2.2032	1.40158	0.921407	-0.304973	-1.1327	-0.82245	-1.11262	-1.67024	-1.50692	-1.9639	-2.28627	-2.30566	2	10.1214	0.31692	0.218424	0.196881	0.267776	0.00117254	0.00117254	-65905.8	0.0	-3777.81	
98000000	2800	-75005.7	-9057.6	-65948.1	1.76345	2014.05	133.542	0	12.4882	-0.555987	-0.156685	-0.0886966	0.0272682	0.236288	0.83294	0.931467	1.43137	1.42374	1.62374	2.28551	2.45968	2.69305	2.40919	1.50406	1.09637	-0.39106	-1.09855	-0.764421	-0.999964	-1.00708	-1.37153	-1.63725	-1.46726	-1.31538	2	9.88313	0.308345	0.220422	0.207666	0.263568	0.00113221	0.00113221	-65948.1	0.0	-3806.25	
100000000	2799	-74768.1	-8926.22	-65841.9	1.84271	2013.97	129.017	0	12.4882	-0.802376	-0.401109	0.0546	-0.104234	0.0464897	0.285376	0.646516	0.892794	1.45672	1.77436	2.3713	2.65449	2.76425	2.43645	1.30949	0.955958	-0.109506	-0.80206	-0.915762	-0.983328	-1.56397	-1.59116	-1.35863	-1.14321	-1.29742	2	9.98941	0.318724	0.218463	0.203759	0.259054	0.00115747	0.00115747	-65841.9	0.0	-3674.85	
